Alpha_estimate_Exponent,Alpha_estimate_PAF,Alpha_estimate_Power,Alpha_estimate_Width,Xi_estimate_Exponent,Xi_estimate_Power,Xi_estimate_Width
4.147947176784073875e+00,9.442181703995684572e+00,1.928695497185397428e-02,2.798680865034765208e+00,1.284650842348734612e+00,3.053175378590822220e-02,3.451622732642556368e+00
3.839472101132074933e+00,9.524038449923198257e+00,6.721161021851003448e-02,2.877380530039469253e+00,1.412903635700543781e+00,5.692424590233713388e-02,3.227570486068725764e+00
4.188097315113039620e+00,9.469549401833193158e+00,2.742556270456662088e-02,2.541453977570916400e+00,1.328831122739471571e+00,2.747828571166652939e-02,3.073766823232609191e+00
3.497989222894307026e+00,9.623304603925717515e+00,4.359293349476811019e-01,3.217403274735594287e+00,1.531765753926794593e+00,3.363863385458982225e-01,3.392167303297254577e+00
3.578230612928217091e+00,9.623054686459628471e+00,1.260985679077831212e-01,2.995700682293285233e+00,1.554240543192083157e+00,8.776674572039734612e-02,3.220043002475391880e+00
3.930400773098594147e+00,9.516276920811410633e+00,4.736196692213059944e-02,2.630778172369779178e+00,1.356836281324687699e+00,3.178272839706908215e-02,3.173542467600991124e+00
3.947313003467790793e+00,9.482584996656937548e+00,2.676979119917660133e-01,3.093251398115447248e+00,1.491501469503749400e+00,3.458871490914713354e-01,3.428283308491562487e+00
3.734229052124391934e+00,9.563410685258210364e+00,2.204436328136114565e-01,2.947098788431877114e+00,1.440975064816682139e+00,1.975518226227610530e-01,3.335487292008699534e+00
3.629086254149910040e+00,9.586348954148180113e+00,9.433207179852358404e-02,2.851772152532742854e+00,1.435386439946692683e+00,5.474575400704474043e-02,3.249085291164127920e+00
4.319922581486318691e+00,9.598096299445492363e+00,4.663737432253314830e-02,3.133392037103002625e+00,1.390208134249252270e+00,2.418575978613105304e-01,3.790675258271082093e+00
4.895284554053997539e+00,9.565652334279027613e+00,1.417887823591972192e-02,2.708675106640519914e+00,1.219447681821625773e+00,4.062707279005955269e-02,3.669358648102858833e+00
4.515241677110845231e+00,9.613305732457325448e+00,3.529526107718772981e-02,3.223364143660574221e+00,1.348835461067430908e+00,2.338524372740225232e-01,4.025679190953572295e+00
5.081852708860885137e+00,9.586070819233739826e+00,3.512082028007784684e-02,2.733981867169224866e+00,1.145445443031399835e+00,1.573048897520747391e-01,4.078914332944293619e+00
5.559297378905519338e+00,9.550447212721772772e+00,7.445775588115531585e-02,2.158516864933653689e+00,1.050797635031317512e+00,1.813057769023015964e-01,3.780592662131714743e+00
5.912220943081486269e+00,9.438819737047762004e+00,3.905692065935917334e-02,1.752593107857145727e+00,1.032002844252027929e+00,7.028497562340989269e-02,3.473845470596004237e+00
4.037617989679570307e+00,9.477320346907664117e+00,1.189782137194788231e-01,3.018035925424146004e+00,1.385339012730262942e+00,1.867034188490140079e-01,3.421041276615127913e+00
5.103563023985718594e+00,9.617474192338024253e+00,8.188883166947810710e-02,2.592322274077710542e+00,1.110057985182288709e+00,1.669274989059932046e-01,3.932528346562556898e+00
4.211152742509128188e+00,9.517439362143171877e+00,9.824008461670810655e-02,2.589486582749554788e+00,1.182173919515544958e+00,1.322475102204246633e-01,3.457699511326900232e+00
5.323157070063743390e+00,9.520289092504677697e+00,4.591348009700534777e-02,2.158963432832926355e+00,1.050638441779032428e+00,5.981295109734315052e-02,3.637601754244636165e+00
4.695344792694604585e+00,9.515487045800986365e+00,4.101750559071783153e-02,2.174789487814702937e+00,1.145645110046162429e+00,4.673122229571102099e-02,3.221330392260511211e+00
5.436890491586646945e+00,9.468501741522985071e+00,6.060902665782448573e-02,1.987915527741640709e+00,1.070627988174261747e+00,9.589748878944788502e-02,3.448988642913616065e+00
4.808652799538891465e+00,9.378738017997356735e+00,2.151871936847314648e-02,3.279355610861922621e+00,1.204985941901351554e+00,3.046631869681254989e-01,4.335464824329722688e+00
6.157588510310396224e+00,9.410600650056879957e+00,2.185707010249508114e-02,1.995433750558406771e+00,1.023513251923500178e+00,8.201667840810532295e-02,4.008376856053128989e+00
4.555658304613400489e+00,9.558126399719636623e+00,7.158991668884660819e-02,2.849167220732744976e+00,1.236628139720243658e+00,1.530175049077062144e-01,3.746879903319614513e+00
4.187475875183776175e+00,9.552526301080053628e+00,1.287425596492139911e-02,3.519952608988835330e+00,1.425118820352868632e+00,1.696204966814308379e-01,4.054476233629079829e+00
4.622699497913827393e+00,9.257027791470896716e+00,1.091140236144847418e-02,3.679473038838834142e+00,1.275918931377177268e+00,2.654543709846175492e-01,4.333593458545450972e+00
4.990799781101853405e+00,9.046194126356892795e+00,4.896999659266934590e-02,3.493933690128041558e+00,1.203170716762542725e+00,6.766548443641235977e-01,4.514486704299699227e+00
5.923746470747323301e+00,8.961155953078433711e+00,5.511333682205014038e-03,2.428011158930844182e+00,1.156264994935742640e+00,7.073499619607524769e-02,4.334839500229934472e+00
5.629494133748505824e+00,9.458570812877855616e+00,2.682481964706982455e-02,1.763115443681415817e+00,1.065428869504677634e+00,2.576927827842729821e-02,3.083051907388787427e+00
6.355974888801574352e+00,9.296883262906755263e+00,2.056456182950309325e-02,1.945679847683225328e+00,1.052113630090441010e+00,9.877737427928617864e-02,4.022991311550140558e+00
4.304078536108136177e+00,9.198929127305746078e+00,7.050747523408062989e-03,3.928165171295404434e+00,1.267887111753225327e+00,2.676799584951368161e-01,4.505918539129197598e+00
4.394961945008765802e+00,9.385786289500879676e+00,9.442509749998316895e-03,3.399498284833827100e+00,1.198343008659561670e+00,1.228421900212060963e-01,4.120180273677316762e+00
4.089748606962316124e+00,9.582611459844253332e+00,3.644697754369938952e-02,3.323034585223478388e+00,1.422429144382476807e+00,1.245914602433057378e-01,3.747102351749644455e+00
4.791195150953612369e+00,9.450809262996346050e+00,5.374213392378517778e-02,2.310081220859855566e+00,1.151358996041759619e+00,7.517583433083549482e-02,3.413134003117073600e+00
4.552493953945661254e+00,9.149942768944633542e+00,4.372061129584155909e-02,3.869241948079581217e+00,1.251303195050268435e+00,8.737682405144276965e-01,4.544040256076389284e+00
3.518930915035778817e+00,9.592688125900075136e+00,8.188647326506391655e-02,2.944955901254581399e+00,1.334990326362320179e+00,4.472390781569329787e-02,3.218417735039433403e+00
5.966460623482401360e+00,9.411267354506854588e+00,7.746592203747163299e-03,1.605806988339091523e+00,1.070692579875620831e+00,1.283011720479689845e-02,3.114304378051166555e+00
4.183020734786987660e+00,9.593114053635369842e+00,3.414838030668241459e-02,3.451963629041399084e+00,1.422356711682819075e+00,3.034059043884986817e-01,4.039062282017298777e+00
4.128689527511596680e+00,9.585456474717840791e+00,5.152135572384997780e-02,3.228931771703513309e+00,1.467345211879316658e+00,2.245261143354407296e-01,3.755059990538172077e+00
4.103118774664663349e+00,9.468632920815126752e+00,1.173896686493480224e-01,2.987005929877287969e+00,1.388654898552998951e+00,2.005004612253095120e-01,3.546253378373863008e+00
4.077119742069874597e+00,9.513257748371845679e+00,1.745449681248929796e-01,2.856167792915940140e+00,1.280674334044928919e+00,2.696874280971987003e-01,3.501912839419849099e+00
4.049231426774962728e+00,9.334203625513502800e+00,1.874574968468182418e-02,4.290295750641625716e+00,1.301938857914002545e+00,5.469014851514958364e-01,4.354861826936075708e+00
3.982824723697403257e+00,9.299197516395050656e+00,4.713119618883989531e-02,4.425974576218614231e+00,1.348631166717381147e+00,1.767828307250171038e+00,4.442133071353134177e+00
3.903641009559998043e+00,9.116070912434505402e+00,1.275113729598860261e-02,4.366859560975661303e+00,1.396225003095773465e+00,7.995928559595575358e-01,4.588280243369249334e+00
3.688069096263150826e+00,9.202403595728902985e+00,3.795347655313494745e-02,4.820473247433301189e+00,1.408592267066055115e+00,2.298775311490023565e+00,4.475263216480705353e+00
