Alpha_estimate_Exponent,Alpha_estimate_PAF,Alpha_estimate_Power,Alpha_estimate_Width,Xi_estimate_Exponent,Xi_estimate_Power,Xi_estimate_Width
2.630607836100519847e+00,9.804726568209071402e+00,4.862669763491064834e-02,3.986023623927109849e+00,1.566203146564717263e+00,1.494952594595296003e-01,5.553858773237993596e+00
2.430500378211339463e+00,9.965393845240274828e+00,9.878747343706588413e-02,4.137637488047281487e+00,1.573035418987274170e+00,3.810758365939060921e-01,5.623055867354074699e+00
2.669886956249710508e+00,9.882304163744850101e+00,5.093397670527444188e-02,3.839287230568210418e+00,1.541217748266066945e+00,1.732916300912407948e-01,5.499631053339825826e+00
2.160337899245468041e+00,1.003846901538325298e+01,5.010306751416400139e-01,4.456099211000928761e+00,1.406062078631781231e+00,2.435487701709753594e+00,6.055951913197834990e+00
2.293943022597919601e+00,1.001377587751908749e+01,1.489377857270565986e-01,4.397721732746471268e+00,1.422985641522841016e+00,7.009650036692619546e-01,6.039948090639981615e+00
2.405846737788624790e+00,9.916553141397722371e+00,8.163990753226017805e-02,3.950766141334789427e+00,1.497296096035168000e+00,2.812470822599515974e-01,5.834045124966562135e+00
2.335993099393266714e+00,9.998738274429783246e+00,4.689337173194596531e-01,4.453704772573528814e+00,1.963257394053719240e+00,2.307727857295311047e+00,5.027413267077821324e+00
2.158828179617434895e+00,1.001824612548385929e+01,3.077624485904467688e-01,4.426704553014414678e+00,1.600262047012071198e+00,1.248481390556851478e+00,5.565386440442956051e+00
2.286783187408147011e+00,9.982969569408988164e+00,1.496510809272762477e-01,4.347431421279907227e+00,1.444821521991819901e+00,4.179552914354744964e-01,5.979625487890769087e+00
2.464854946995147067e+00,1.005008242961547360e+01,1.391998786636239327e-01,4.719621439089720205e+00,1.872009840504876399e+00,9.530691964787313397e-01,4.762824013772138265e+00
2.669879715196017411e+00,9.911069534564839856e+00,3.709586866456886928e-02,4.399016817684831437e+00,1.774382409556158668e+00,1.082238711802096243e-01,5.141186648401721015e+00
2.363379775875746436e+00,1.003076524927158530e+01,9.380738659188000983e-02,4.913521207944310909e+00,1.761559500236703935e+00,7.064874073622202655e-01,4.807121349103523400e+00
2.463841870773670450e+00,1.004327180108358775e+01,7.966732632282168269e-02,4.973986470422079087e+00,1.743307842764743487e+00,5.202214145729707750e-01,4.965733060171437785e+00
