name,C1,C2,C3,C4,C5,C6,C7
5HT1a,-0.02167294305110818,0.032320292470442887,0.19761691082386904,0.15187594758125567,-0.06972338958047739,-0.35891559081274765,0.4616099987190338
5HT1b,0.2945545583947941,0.18664456996016782,-0.1726971010031923,0.22918261714870392,-0.29827418280024914,-0.12894442598212325,-0.19760616005442247
5HT2a,0.24385022167686793,0.16448829022790382,-0.18780434463161438,-0.40302340951914734,0.15784810399326282,-0.2286072460726115,-0.012936296155557313
5HT4,-0.4434692032025842,0.2069116248372215,-0.1491433669503866,0.4540424980419524,-0.08879325051028647,0.2854011514584059,-0.052513743435998295
5HT6,-0.12388998240660047,-0.360253600206112,0.14552989105344796,-0.11373347034183842,-0.1309447179685065,-0.1716712430742742,0.08876421573910488
5HTT,0.298968352673618,-0.08768747842531377,-0.036156694379158874,-0.06933392667922589,0.07143843586833516,0.37103809310077907,0.31440588555784343
A4B2,0.10045737778375317,0.03532203717104886,-0.06515854076319542,0.11162835757510894,0.10351817162506201,0.11147257780248106,0.3474023006485509
CB1,0.2915107786236201,-0.1304145512918994,0.1318881421420391,-0.31248323399357303,-0.03781357433530263,0.34477427858416587,-0.023961689292558732
D1,0.13608135056294135,-0.5005059136141647,-0.06768404221675108,0.35689452350756196,0.541481414654195,0.05438456093886013,-0.01821361329181659
D2,0.34779629400987794,0.5385669520099263,0.2591491440983483,0.15979576948007018,0.19261239270459138,-0.0838845262068308,-0.031280194647915836
DAT,-0.25217455086130575,0.05424648103137818,0.031495915304364235,-0.3772725507039421,0.25737184577608707,-0.20129541204717363,-0.17374800505779736
GABAa,-0.18821457412289003,0.2643110286051591,0.22313927691811128,-0.10028713174314867,0.10146213764217553,0.21893610159965896,0.2745878897447745
H3,0.12159700555244257,0.08394882659711655,-0.5315371002733453,-0.02060584622491339,-0.29532798351475104,0.05629152487028004,0.04250900366751643
M1,-0.2597959786622516,-0.030538779958977576,-0.34708099542786053,-0.1271964593876564,0.16093399338505593,0.11532425775044138,-0.12020960404817611
mGluR5,0.21912604977164588,-0.16946225381789165,0.051439640029465834,0.28024082201956485,0.022797688372826943,-0.3541953901645102,-0.2924471017227843
MOR,0.062416760891298564,-0.07619443842227355,0.33359626110493273,-0.06668800846967664,-0.23350466888806545,0.3114044022618051,-0.4970397314791938
NET,-0.04414255879688259,0.15084100209632098,0.3142240740119223,0.13068162397038283,0.22477283087925323,0.16305976909865047,-0.14306045092095243
NMDA,0.055868537719418646,-0.24467485718079018,0.22805958046843716,0.03041540884989918,-0.44306706054295125,0.049713861367135674,0.201872796879932
VAChT,-0.2812119543828241,-0.006134917364941639,0.1981988687284987,-0.0713330246670817,-0.13093807961230056,-0.23664216888093736,0.0017764883880601442
