name,C1,C2,C3,C4,C5,C6,C7
5HT1a,0.4416195597366762,-0.23178949431776844,0.5112020747378647,0.24160962259363264,0.3322145310426974,-0.16376272981604129,-0.03592453165390392
5HT1b,0.4319455446907012,0.25382986673150637,-0.3829412519086558,0.08281207645076567,-0.0266088139558082,-0.23850250903937045,0.014968999620784032
5HT2a,0.35883510127141494,0.19315553553078504,-0.21524832486684894,0.30924867339413,0.31819848950487056,-0.3208687435009307,-0.1544941165684582
5HT4,0.1999390995450258,0.0831469966501663,0.21300468032736333,0.5550831883418765,0.36753483095850614,-0.08505098240188409,-0.25655682338601127
5HT6,0.34016569822696713,-0.26249408786954925,0.22462513951226024,0.11275138425795096,0.0335320706236676,-0.2969203980599952,-0.032889101340817364
5HTT,0.12137109847949645,-0.5488554234814107,0.40770663806223234,-0.3285899727273554,0.30869589591525975,0.05879966764001915,0.016689088075206956
A4B2,0.4801697465466536,-0.06813425965343028,0.11383616365486167,0.23897477644655674,-0.2830183248428801,0.08582833227778588,0.2014791673697276
CB1,0.7107453247489277,0.14187851727021739,0.24600855819411946,0.26993344387553625,0.1429803509884758,0.1952421277434045,-0.22710037157819682
D1,0.28971735934514453,-0.7341600540280906,0.1439402626593509,0.1782763432263702,0.44457378875379616,-0.1194268583626583,-0.05873903856942743
D2,0.32812041236074435,-0.08469688618770747,0.6149806926397681,0.126871660518883,0.3712124247759449,-0.11588866599696056,-0.1519370568166457
DAT,0.1604243552752431,-0.608465957827238,0.4615540979614714,-0.1294983256318955,0.41602637729240743,-0.17786200282807338,-0.11921887881971473
GABAa,-0.0558430178274116,-0.3131893858937258,-0.07723117553080301,-0.11697677217219188,0.21854499205227118,-0.27255851366136913,0.11754114482032472
H3,0.7066833380271713,-0.2906310116475489,-0.01137448251683733,0.04822234261840514,-0.21426323485902432,0.11859893880249187,-0.10292417630511759
M1,0.23808837519633386,0.14133141860755488,-0.21876233820250654,0.35625608706447703,0.3520547611979667,-0.07966796429290872,-0.23273370541750107
mGluR5,0.35699549045273404,-0.28336724104964306,0.18771366339671813,0.49409367096738316,0.19607553137426276,-0.12778077231320686,-0.27317167212848226
MOR,0.7457446081393264,-0.09626216224237508,0.21237347932222206,0.4185710950392826,-0.045295641865462276,0.09785275415932605,-0.23077765018703617
NET,-0.13886080257748754,0.1040886578381133,0.2803245821048154,0.1778372941979381,-0.3353170144485742,0.2312933163215947,-0.04934688309178222
NMDA,-0.010984931015356199,-0.7663778016320894,0.28399845399486773,-0.016645405200974052,0.0626631288661931,-0.26378924081329386,-0.00798064362923411
VAChT,0.2334267162254993,-0.39679490201341927,0.538161849112641,0.003113828966007888,-0.05179709168976333,0.1441829245822272,-0.11765858368325459
