Xi_estimate_Power,Xi_estimate_Width,Xi_estimate_Exponent,Alpha_estimate_Power,Alpha_estimate_Width,Alpha_estimate_Exponent,Alpha_estimate_PAF
-6.754374359143458517e-02,-5.676079797557070927e-01,1.461266547505148505e+00,-5.913795846681041369e-04,1.266892117247652404e-02,1.795679914952003076e-02,2.410752777064269561e-02
-9.499529881614586502e-02,-4.738541287049563566e-01,1.111801359216526564e+00,-3.642821513521684348e-04,1.477456810204010387e-02,2.111924796316209940e-02,3.520760612371393039e-02
-1.217452955090322086e-01,-3.763871795804623610e-01,1.322476507117745115e+00,-4.745365847994325237e-04,3.441452341226304557e-02,4.879415045899538478e-02,7.809182231901587445e-02
-3.884551659570407295e-02,-1.366510650706702412e+00,2.147087656552328916e+00,-9.748238972317612057e-04,1.202878169335228932e-02,1.787247259230701629e-02,3.131918184181611831e-02
-7.205245010613982315e-02,-8.569435863105803186e-01,1.995240512667099786e+00,-9.126675546849188545e-05,4.840403498636301587e-03,7.645211399296168893e-03,9.542899399644420508e-03
-1.375214258166870818e-01,-7.999327256097737981e-01,1.963174930707713095e+00,-3.570673075097314554e-03,1.092842281518045452e-02,2.844949741291145223e-02,3.241745582345581522e-02
6.053208912229875865e-03,-1.040736310460324221e+00,1.898382537945942250e+00,-2.016956278284368076e-04,2.556508392356588930e-03,5.774581978739186904e-03,8.048408524793885382e-03
4.311531599976139995e-02,-1.405985361089077568e+00,2.114192585583568373e+00,-2.964731758606510797e-04,6.622821080419949435e-03,1.033200419787544053e-02,1.933333019634243116e-02
-9.240468510257682233e-02,-1.668721301896482601e+00,2.408306775945075806e+00,-3.289805604161237344e-03,3.154517704669829170e-02,2.399091440447370660e-02,6.406634959356688475e-02
-4.663284038913809160e-02,-1.598704096360048954e+00,2.148743009768550039e+00,-1.928689219137422434e-06,-4.747600969258166173e-05,2.982618004003660716e-04,-1.365965572367887262e-05
-4.945016551219403450e-02,-4.346815027852395374e-01,1.043920685670754356e+00,-3.210752650643023602e-04,1.179525431662280764e-02,1.349845594052423263e-02,2.140168166617493692e-02
