component,canonical_correlation,shared_variance_r2
C1,0.9329156959917994,0.8703316958278634
C2,0.9019651636307102,0.8135411564033739
C3,0.7808249908868227,0.6096876663934067
C4,0.7651970188122074,0.5855264775990896
C5,0.6087695835635223,0.37060040587210435
C6,0.5701771247153165,0.32510195354862553
C7,0.29626790015713783,0.0877746686635198
