name,C1,C2,C3,C4,C5,C6,C7
5HT1a,-0.3744111413414251,-0.2985968963729827,0.3362970737759337,0.24109643974465503,-0.1947498135873306,-0.025801043142650974,0.04850328260267749
5HT1b,-0.33209603671358706,-0.20973581158141608,-0.15270278281041852,-0.19094033318426787,-0.1567804363452367,0.10607696515077436,0.13408205631335895
5HT2a,-0.274725390290504,-0.10799240222858596,-0.05472093888614258,-0.12785000498342441,-0.520327958368543,-0.05490978652964165,0.28667616317346556
5HT4,-0.22267980476460073,0.05207953313590768,0.22913065096078758,0.16481220271254624,-0.6547681979452571,-0.11430712502183019,-0.012208673639871917
5HT6,-0.15915540176446757,-0.3653884951937193,0.20401494373619997,0.1825405389420531,-0.22768314798208866,0.06243608947254335,0.12701135930711235
5HTT,0.09779155187375219,-0.4516341109229874,0.22531407724734775,0.0807448513485912,0.15116539312854746,-0.0878927325782126,-0.07391465704053855
A4B2,-0.5702910940113255,-0.058376296603783955,-0.07780082424025213,0.41519084905889864,0.0716280479788471,-0.1294645690959109,0.22670493084388751
CB1,-0.7216350278912307,-0.15670696996669067,0.0832989141322033,0.07665376345008297,-0.3817943538065484,-0.05388172396160348,-0.250888870319749
D1,0.05118934014173228,-0.6235558165043854,0.14771487544799344,0.3722133067989169,-0.21796803824576072,-0.2414901456023092,0.09284547367375152
D2,-0.29537083645432705,-0.19823287903531825,0.49647993683404346,0.04740347739386669,-0.2703731686328927,-0.04344995358863683,-0.09449786063121207
DAT,0.08665264246559082,-0.5259371277151516,0.42203421942427716,0.14299520541921357,0.008637878340584722,-0.3155676524160018,0.05695409661851417
GABAa,0.3146980524702481,-0.2551803671960117,-0.11038506679509258,0.04494979069195042,-0.009134847024721319,-0.16041589286556726,0.2193485605955487
H3,-0.5128639935240696,-0.4778369562752512,0.15512812494672532,0.18945358648026986,0.05443923960059161,-0.12133767797419567,-0.162811170965862
M1,-0.16153829202380454,-0.191935381629653,0.09121611623181577,-0.16016499828938047,-0.6934763118850993,0.1637602315374358,-0.015226755999451738
mGluR5,-0.23684737894131708,-0.2619016649634912,0.2886940530002087,0.3478910776339231,-0.4509952356756131,-0.12492569940931214,-0.015952043871134938
MOR,-0.7280865986715351,-0.22168086664904182,0.1522411666706569,0.3549309452254576,-0.16295397976595793,-0.24144600481520667,-0.10500753048912541
NET,-0.12394329402929156,0.35128760438999745,0.2911081435624355,0.211745593780305,-0.0015778707058270345,0.08283746720349325,0.04302485054565559
NMDA,0.34264159089113955,-0.5528045015399182,0.3961790486547026,0.36253116950028713,0.06306792934682297,-0.09987574794424119,0.18984519532594898
VAChT,-0.2460897622292139,-0.14398757243470536,0.3892070371021265,0.3443028754205303,0.20848966208995434,-0.07256431277500323,-0.13706584333209104
