component,canonical_correlation,shared_variance_r2
C1,0.9332311339208428,0.8709203493191819
C2,0.8918149490886251,0.7953339034179471
C3,0.8306120264996619,0.6899163385658751
C4,0.7287093878038544,0.5310173718734683
C5,0.6527893777131997,0.42613397165518646
C6,0.5137031846033733,0.2638909618716474
C7,0.44405342758558597,0.19718344655050724
