Xi_estimate_Power,Xi_estimate_Width,Xi_estimate_Exponent,Alpha_estimate_Power,Alpha_estimate_Width,Alpha_estimate_Exponent,Alpha_estimate_PAF
-2.176667340993145255e-04,-4.954549732671247389e-03,8.634982047617010409e-03,8.080799038466671209e-07,1.659037597987013998e-04,5.140736220491575002e-05,2.982149543357318468e-04
-5.700235981662074439e-04,-4.568044213019292581e-03,7.541526139301498073e-03,-1.561497430341782515e-04,4.683745343251460034e-04,6.720684807843840152e-05,6.709438236145536362e-04
-1.783010360839316184e-04,-7.565370984183583669e-03,9.976486309088952037e-03,-5.514659283501265319e-06,5.071700858846293756e-05,9.507772863872894064e-05,1.949158947271250036e-04
-1.230090236671899399e-04,-4.477126879432656581e-03,8.315160325654496684e-03,-1.013605047269387091e-05,8.170632426102408504e-05,1.113906473258279256e-04,2.309960138105752645e-04
-1.112109448762353193e-04,-4.301626934976366529e-03,7.584074274706855898e-03,-4.071086315107313959e-05,2.931783899725618831e-05,5.256635632384345553e-05,1.384055097776669928e-04
-1.202865505862632609e-04,-3.553645102446090481e-03,7.643167067808475171e-03,-3.126809987854083846e-06,9.613344057444087151e-05,8.327510381302147074e-05,2.294992738131542852e-04
-9.977918158895462877e-04,-1.188173627262018202e-02,1.046899486349771660e-02,1.808900996888020413e-06,1.170259983263925810e-04,8.885634646215439397e-05,2.346666461677531402e-04
-2.521960976388094681e-04,-8.454171896627771937e-03,1.033239896452048043e-02,1.093724007515821630e-06,3.600097589198779927e-05,3.415063687005231757e-05,8.722251846601848939e-05
-3.727396768291324773e-04,-5.396499326626458433e-03,8.494431978249466011e-03,-3.317062023605488755e-05,5.216775687702100879e-04,3.530085934236870671e-04,9.136540071168867960e-04
-3.673718046649401109e-04,-8.255008339697382513e-03,1.017577686608395551e-02,-1.313199746122668784e-05,2.160724467771062921e-04,2.117495167033866285e-04,4.845190323690961600e-04
-8.892193001653109132e-04,-1.081506118484916110e-02,9.410825910079051448e-03,9.276716023034928934e-07,6.642513360301458545e-05,5.121321974010900846e-05,1.285399772880564673e-04
-4.692638081887374736e-05,-2.851807505203960737e-03,7.357078996436183099e-03,-6.508357706695375421e-07,1.293838668650925808e-05,1.297680081612611176e-05,3.951200318423264625e-05
-3.004514583351050854e-04,-8.929793638188023366e-03,1.043914568185160506e-02,1.628991555102765379e-06,3.408733092262110034e-05,1.890640117422915647e-05,6.875286098381822530e-05
-1.209502792006984838e-03,-1.127104277366426134e-02,8.691477689560302491e-03,2.240246276754325089e-06,7.518413171416423748e-05,4.840872491417721698e-05,1.388257699577269974e-04
-4.811760214088452799e-04,-9.202762488568922913e-03,8.955248781063811572e-03,2.908112062698059626e-07,2.744227839123204626e-05,1.698890049482497492e-05,4.707455448794672497e-05
-2.771612864545476345e-04,-6.639939003204953748e-03,9.575523850396866488e-03,-2.980818253154154433e-05,1.304355081154530134e-04,1.927678135081734967e-04,3.872595268966397492e-04
-5.409347392542789620e-04,-4.784122424172491429e-03,8.022690706024820928e-03,-2.668468272881004914e-04,1.986706406484726605e-04,2.505995890021064373e-05,3.855006154820749117e-04
-3.482738691618594840e-03,-1.189149788783137700e-02,9.147983356583518078e-03,2.528756146684845143e-05,6.956829275901390153e-04,4.160936260134556752e-04,1.359845068570052348e-03
-2.102356596730379189e-03,-1.201967687130407227e-02,9.801270964219456830e-03,9.774055924666842713e-06,3.638171879128259821e-04,2.281069025215049330e-04,6.726725807132276401e-04
-1.727113713423817807e-03,-1.195426292338337519e-02,1.049255730850562687e-02,6.960837905900892474e-06,2.289679595220860044e-04,1.219629600790775271e-04,4.296648204986165437e-04
-1.424735201085189406e-03,-1.121854536846750988e-02,1.044995689597099861e-02,1.109493302954016193e-05,2.792041385916980327e-04,1.479851769632116898e-04,5.190789357098731568e-04
-5.314875528622658714e-05,-3.099612125187725057e-03,7.522921792205463677e-03,2.056567155986871868e-08,5.111320365538465362e-06,3.988954019039500973e-06,1.164053441265042948e-05
-3.491129253319817205e-04,-9.665147473235059447e-03,9.641550496853132021e-03,-2.583271538698394749e-07,1.780053991586599095e-06,1.100209135583320689e-07,2.044683474265326789e-06
-4.235583763202627113e-05,-2.860509524694614374e-03,5.326276456941881482e-03,-4.969522937093391424e-06,-6.652428930779599545e-06,2.129460970959917053e-05,3.214551964598290546e-05
-2.943456264219822130e-04,-4.820028604173071454e-03,8.148676001983091305e-03,-4.379464578117570756e-05,3.336099435899189387e-04,2.958401062728727854e-04,6.824187522064943147e-04
-5.325052523329050708e-04,-8.316706652017655244e-03,1.012662860795125047e-02,-1.087039195915926791e-05,2.665484893048782142e-04,1.620881483098781696e-04,4.952974515038964564e-04
-9.099822488487847210e-04,-1.058570769170436368e-02,9.894511461637230110e-03,1.816922712542069889e-06,1.622420632271904335e-04,1.322473388597774735e-04,3.297031695534092741e-04
-4.557537464225425747e-04,-7.265813412240453018e-03,9.370842772130086318e-03,-4.004808988508535037e-06,2.872699081235187565e-04,2.077535204827038126e-04,5.735972281015948131e-04
-1.552900271532551722e-03,-1.107591601418125675e-02,8.004584974550664478e-03,3.116377030487786617e-06,1.554483695467299205e-04,1.196368767303325974e-04,2.804329268938417913e-04
-3.102100713936447283e-03,-1.119953872929073911e-02,9.200308580771244388e-03,2.218093336322927964e-05,9.983371947106286625e-04,6.504857761582244057e-04,1.911893800785332805e-03
-1.770930190496834006e-03,-1.148330267801099015e-02,9.112672215182388014e-03,1.610101911480681981e-06,1.017485541947985613e-04,6.928521113234782267e-05,2.112595594762269751e-04
-1.667251717769287168e-03,-1.034126746323781043e-02,9.803883776978944073e-03,-2.922072923659415230e-06,1.941925746252716142e-04,-6.488991709338934322e-05,2.313455674304821467e-04
-1.071908702375208230e-03,-1.083015838963191819e-02,1.010172071337551471e-02,2.397428262354308737e-06,1.023827356669265568e-04,2.454838958345741251e-05,1.335214446831004258e-04
-7.246601288819064398e-05,-2.130566171133542637e-03,4.867537426494611234e-03,-1.703019587407409345e-06,3.312599271872157655e-05,4.601068339976821422e-05,8.199508690830595412e-05
-3.702677024215959834e-05,-1.446602614457450807e-03,4.957162048122033468e-03,-9.774917361933147801e-07,1.174391217623563909e-05,1.854483278407239528e-05,3.794380070056430901e-05
