region_index,x_score_C1,x_score_C2,x_score_C3,x_score_C4,x_score_C5,x_score_C6,x_score_C7,y_score_C1,y_score_C2,y_score_C3,y_score_C4,y_score_C5,y_score_C6,y_score_C7
1,0.34137785034311446,-0.007962406831876741,0.10857707392706019,0.3968207423825709,0.28378323631122854,-0.14383298122292024,0.4477150875012988,0.19410240308740978,0.3780777584289983,0.0780868944494279,0.022488848774895147,0.7421053644866457,-0.20806039133648083,0.6608304733725183
2,0.6786740754675968,-0.11875117419269929,-0.015835431258856374,0.19802975214007135,0.10855806988530815,-0.0044018587421351535,0.24944863045257454,0.7385822563437628,-0.07623891000451959,-0.35602071995317414,-0.08766670679886146,0.5049488280236079,-0.18003688187111896,0.06979014948578581
3,0.6420978058663216,0.029841873769572303,-0.21592403842748734,0.5869575099751464,0.2549040259857312,-0.15383380246384865,0.3867347956500746,0.7401076896525849,-0.08583145228057629,-0.41218329168932877,0.42734553686992194,0.4102796712406753,-0.15886434615740166,0.136111023856964
4,0.33664519001789667,0.39811241829509,-0.3978325492755143,-5.2547669760201625,-0.4369952387979458,-0.8222580552912299,-1.2923592701846827,0.39350232337840285,0.4951637751957121,-0.5108087209603966,-1.703415639080214,0.10613559531802212,-0.48243569291419214,0.06415830948750356
5,0.947942778745361,-0.4108335520638255,-0.156720072004175,-0.9284189930129738,0.5130022149261334,0.5054181450712308,0.44956730127584493,1.0115047164501427,-0.8407191831964425,-0.2637982027370256,-1.1902026196917364,0.7938723592022499,0.2830410818788196,0.009989620729487758
6,0.9141082868741345,-0.1964692691437648,-0.0991072088708461,0.45353122090946263,-0.03280291213933827,-0.06571111710557533,0.17062227560688314,0.9944425349850271,-0.8737528405817258,-0.3722194822358253,-0.10814841390072254,-0.02084273323666838,0.0983596912059913,0.3204912637973692
7,0.3061893042805049,0.42297338032358495,0.12452712423740603,-2.314381191553034,-0.7245959912327314,0.9902814510530902,-0.3197746824019352,0.16549381839361985,0.3627552868761814,-0.003733018352305797,-0.08047373025094877,-0.15060620341010184,0.37172963130014075,0.22387396175901234
8,0.5371514208426109,0.07657355497311555,-0.29578139519428176,-1.5697997775247277,0.04081709666635879,0.23836699667719885,-0.2971389881278031,0.43980495688693466,0.34854581721829586,-0.2501311712188557,-0.5693676245214784,-0.39815274720909033,0.16930715870863108,-0.1009387193872011
9,1.0800307875805688,-0.33976975270327314,-0.16979445620508413,0.07863130501561226,-0.14175832628568194,0.19613338463610244,-0.45972818399925264,1.0500330352465983,-0.38510251244290933,-0.23187760551559497,-0.26482193301466006,-0.15751030240857736,0.3034812195179906,0.3627061639822802
10,-0.31496609163252165,0.21221130344240902,0.22018129632225478,0.1634901882661021,-0.13952650553642537,0.18933060437985538,-0.391995031789396,0.07651727306665684,0.3058023466109927,0.39304275413667655,-0.21142159765978805,0.12410851727279126,0.5745553805217218,0.24358201258567838
11,-0.1870159390061699,0.1920357181492859,0.18300435274704416,0.3416517111003973,0.4857957985764686,-0.12904151779917913,0.20608642913340433,0.12263913897544956,0.5422284201910272,0.012167808064204156,0.40763294104971765,0.9059706555732852,-0.10069265768512074,0.19714234872439265
12,-0.496898311765716,0.03547680501259754,0.3685318462436104,0.13019397914013872,-0.044789557356520675,-0.03903475518829761,-0.2836861726916613,-0.35154282895710504,0.25600533868378067,0.35523293316204996,0.2418990521884,-0.142594019097525,0.3723606028313064,-0.1465676938991814
13,-0.5591815511511592,0.25006109536942217,0.19583889031752685,0.13944618534615794,0.4188471157534923,0.0462394283100102,-0.23308024418265455,-0.7064041171090087,0.5261163978054905,0.16904183683673835,-0.16026588345185022,0.21674973082309618,0.226510427613926,-0.14194952881854628
14,-0.17747001595184686,0.45618592884051623,-0.3033762695168656,0.057293466099501304,0.4196785867637337,0.3232421180584374,-0.1287933850390291,-0.19492694149282527,0.7347927512000793,-0.1883279728059284,-0.15792002865635152,0.5908680003315083,0.2603153789271835,-0.5408248125232694
15,0.2522183656634781,0.2607171016960548,-0.07235954932975146,0.3915452129589378,0.19514145315461057,0.10353708692744487,0.4793216832918405,-0.02497179575973646,0.898937193048855,0.11101861274403112,0.18793953486968915,0.6925486624076195,0.05240817973547713,-0.04784658208964782
16,0.18077311654088415,0.24761660905176147,0.25054852807558237,-0.5365650394413807,-0.08705737087336654,0.4125916264445791,0.6719102460532959,0.2285848335829917,0.49326713405576184,0.1651174071135515,0.07431195020455171,0.10576188075289901,-0.0710412169124024,0.30972983223948497
17,-0.5668259647098326,0.5224294453245559,-0.19768468961081245,0.2683917650734368,0.613935542827585,0.15353720056382258,-0.4210491700911176,-0.6484714982470587,0.8863283176099788,-0.4555389591708147,-0.07843406473440737,-0.3138290400677701,-0.32364590837956025,-0.23101466070353235
18,0.3883112400121679,0.19707155390474052,-0.49112488179147595,0.4423914392047006,0.05095510462930383,0.017647584646492135,-0.9819938512453777,0.5251544635505495,0.539748852065708,-0.3008885022291128,0.033690362884439,0.04466838420915858,0.04538785423555259,-0.5800626678541807
