Alpha_estimate_Exponent,Alpha_estimate_PAF,Alpha_estimate_Power,Alpha_estimate_Width,Xi_estimate_Exponent,Xi_estimate_Power,Xi_estimate_Width
3.297539678560633458e+00,9.478656256279977654e+00,2.043822318153950060e-03,3.410187855869734275e+00,5.795751198619401023e+00,8.183651586731604827e-04,4.821104670868439079e-01
2.709781818588574698e+00,9.612016542752582993e+00,3.552123038389254361e-03,3.721729622284571271e+00,5.773445900281270582e+00,2.279675294509312874e-03,6.136791152879595979e-01
3.133208030331743998e+00,9.624605499044822210e+00,1.702257972482564734e-03,3.243871768895727037e+00,5.290941198376843957e+00,8.175174784710644450e-04,7.044558568592489411e-01
2.807298236423068527e+00,9.567734487695631174e+00,2.227465376741818992e-02,4.213744615417679640e+00,5.662691590053583468e+00,1.530182265883518571e-02,5.185335316981365406e-01
2.982499163801019648e+00,9.620482410084116864e+00,5.032475639282810512e-03,3.931028678200461535e+00,5.410718146237459614e+00,3.677502907389267051e-03,7.438751501115885567e-01
3.240815937233883837e+00,9.716878119838295191e+00,2.688103545129602329e-03,3.177948369934227912e+00,5.026922068527440501e+00,8.682391759310068837e-04,6.122674831505597881e-01
2.985474969401503920e+00,9.630807826013276340e+00,1.166328977772288639e-02,3.669941522858359395e+00,5.743585976687344719e+00,1.790934425485884995e-02,4.457730128232276767e-01
3.008053531393336755e+00,9.728542461487405646e+00,9.824754859226337428e-03,3.800377036062415836e+00,5.569909634797469700e+00,8.241335390099652908e-03,4.883729282784577408e-01
3.249096365425530486e+00,9.728176019323154122e+00,4.583229117396133909e-03,3.716006840307881642e+00,5.040847004867914372e+00,1.801563913367439356e-03,5.217360049838156710e-01
3.212192430121688425e+00,9.662476725961969493e+00,4.127591459876304471e-03,3.713908363576136296e+00,6.385027001187262741e+00,7.007009613370501766e-03,2.009795075175405954e-01
3.431579968024944360e+00,9.619015351657209223e+00,1.532804232154940695e-03,3.545213156733019400e+00,6.304400792615166615e+00,9.644760222350857613e-04,2.076888770764243886e-01
3.652406558845982421e+00,9.717248637266832745e+00,4.268274407638612822e-03,3.599696844515174465e+00,6.029293402276858060e+00,5.854375590746657525e-03,2.297831442809165070e-01
3.605065243743186709e+00,1.018901620022086263e+01,2.830651230828533371e-03,3.310272899339365527e+00,6.379052574689998423e+00,4.072843906253056576e-03,2.097680305325707595e-01
3.743871960454358216e+00,1.048606555047863331e+01,3.251478103167951966e-03,3.076575354723159350e+00,6.256927565900151755e+00,5.746822478842202389e-03,3.212154424654509732e-01
4.245790208782161734e+00,1.019757667532912215e+01,3.022307801419063609e-03,2.983860383968095498e+00,4.946345462992384867e+00,3.992064910988545913e-03,3.432230774799848727e-01
2.949883849253296386e+00,9.566371537008775405e+00,5.874438021169135944e-03,3.604965237289549318e+00,6.042746200863080119e+00,9.113173815191690647e-03,3.974730146850050660e-01
3.188651355050450498e+00,1.029366758058396947e+01,2.986136983858970768e-03,3.646262913299121333e+00,7.187403123155772455e+00,4.133884215027281567e-03,1.376893126117668675e-01
3.536163680407465648e+00,1.009123962752673087e+01,4.078717564143950237e-03,3.165443596385774327e+00,5.261616646838025879e+00,2.514299653869654389e-03,4.083896458123614237e-01
3.532416191421637208e+00,1.027332439743170234e+01,2.002320915632763761e-03,3.430759618262282817e+00,5.711378774723084639e+00,1.487235359147097207e-03,2.761889043412789624e-01
4.448393825723343298e+00,1.029959667430204462e+01,2.329040975153383493e-03,2.376744015877988225e+00,4.988969454244405632e+00,1.438972294406902670e-03,5.742336091499368189e-01
4.185707959118268207e+00,1.027961742325334349e+01,3.168756845376349655e-03,3.021259793382606862e+00,5.175805276592835291e+00,3.875056612428697152e-03,2.842805684106239350e-01
3.138490188603449305e+00,9.829545661656544198e+00,4.417569518225699862e-03,4.128096954991119283e+00,6.155250161585181345e+00,6.350257669133369150e-03,1.379845627498897664e-01
3.550033055975081897e+00,1.023717801925983828e+01,1.724733058065968695e-03,3.573382014923907501e+00,6.295135441232234896e+00,3.506579515623285508e-03,2.389841114904018293e-01
3.332410818611095227e+00,9.998106700922148704e+00,3.503219154511206905e-03,3.523933427785736150e+00,6.595899809419718984e+00,4.256078910259104148e-03,3.362391549923451350e-01
3.605877697467803955e+00,9.553713484124822131e+00,3.442136832425923484e-03,3.427080194373707034e+00,5.735653395181174119e+00,4.301627597050066212e-03,2.913328389135690921e-01
2.791857897018899859e+00,9.530530224041063647e+00,3.267524487900842073e-03,4.247355167963067224e+00,5.967516918571627471e+00,6.657679128099461274e-03,3.072350932931413592e-01
3.023127422403933284e+00,9.918713633693865717e+00,6.841129479137485377e-03,4.217286691736819471e+00,6.212879074153615733e+00,2.239765909347516543e-02,2.466714618477358623e-01
3.631144288798858533e+00,1.002902853077855561e+01,7.166086191412840119e-04,3.486949931958625903e+00,5.907886644889568828e+00,4.719515687611419708e-03,3.638706909942215906e-01
4.586369912875325916e+00,1.004994953933515056e+01,1.528179703822580031e-03,2.588759962665407421e+00,4.405824595376064856e+00,1.070356088587830386e-03,2.740326571817460755e-01
3.269232211794172116e+00,1.037743471690586716e+01,2.366553259863784110e-03,3.329765829018183965e+00,6.261826872825622559e+00,6.402570234162599690e-03,2.446435435009854109e-01
3.007264502346515656e+00,9.304971922188997269e+00,2.619422320321973530e-03,4.127260598354041576e+00,6.425286056473851204e+00,7.085081349032407161e-03,4.027467419437016360e-01
3.323601585257713431e+00,9.245021776578324690e+00,2.450028709080965313e-03,3.744419673366733203e+00,6.001976104823308233e+00,2.496993517391656731e-03,4.848759602330600660e-01
3.331351237437304214e+00,9.627319997899672188e+00,2.964905283742529356e-03,3.326778669918284859e+00,6.308643321429982187e+00,4.042105647728449699e-03,3.434402576264213303e-01
3.159500554675969575e+00,9.941214686605185591e+00,3.339809253369352849e-03,3.560945913802444629e+00,5.545075657141154579e+00,2.035983116998088625e-03,3.092068348467619798e-01
2.869285804454726474e+00,9.663224745278407468e+00,9.104946176074633218e-03,4.359745468756164755e+00,5.970507771077782522e+00,2.290704659647261124e-02,2.119076253300664348e-01
3.227982275093657982e+00,9.743282414689849347e+00,4.061866112501371848e-03,3.880003404013718349e+00,4.946029889432689508e+00,1.515591164897608532e-03,4.174744395326964730e-01
4.534631780875745477e+00,9.913796920184941186e+00,1.025834071401203517e-03,2.497716151466665480e+00,4.385579693225002629e+00,5.834949704369010249e-04,5.364483769607636399e-01
3.536052438191005010e+00,9.663806615556989499e+00,4.778022603360503745e-03,3.483227338109697424e+00,5.997922384171259225e+00,8.222730347881138102e-03,2.653536394593261627e-01
2.917348188090036931e+00,9.741317909884164905e+00,3.888746277858357199e-03,3.303393004888511619e+00,6.652191262647329850e+00,6.969975639647994943e-03,1.877961027694035612e-01
2.987620508583793022e+00,9.664862013211214631e+00,6.269263659338772561e-03,3.296238633838012966e+00,6.413966032710388454e+00,8.679639180122881298e-03,3.401540305710186729e-01
3.301506438770809737e+00,9.899945763138321198e+00,7.516404880244318375e-03,3.426557380873877623e+00,5.826883401956644448e+00,5.436450788714886594e-03,4.129105390975246204e-01
3.063792364656432454e+00,9.229697101372332568e+00,5.929667483399476274e-03,4.050121973368747241e+00,5.666018970741713012e+00,1.847769257281560440e-02,4.357766871117363383e-01
2.674420529777564060e+00,9.342990509514669029e+00,1.844824163087200458e-02,4.609343844710044102e+00,5.881393965008189006e+00,4.096436481052575379e-02,2.862576275738408227e-01
2.830777469735878960e+00,9.636347431402940700e+00,3.241848740379702290e-03,4.283678640539829274e+00,6.557239195475211169e+00,2.683953029582671068e-02,4.549371308396355507e-01
2.239596606041333704e+00,9.607572123130657005e+00,1.074404075455429562e-02,4.266609683540297127e+00,6.338670991222310924e+00,6.812880778546381855e-02,4.603916105368863199e-01
2.907001722149732625e+00,1.014989024172261267e+01,3.909432998017119479e-03,3.518177832875932776e+00,6.166280893498596427e+00,4.304662616136532838e-02,3.599942306296750605e-01
3.337937799367037606e+00,1.012028152292424998e+01,3.896316870602524896e-03,3.804449052973227108e+00,6.284164943478324439e+00,1.304307619416662962e-02,1.452937694266438484e-01
3.459410704965666383e+00,1.017239180136853349e+01,3.466835329364105142e-03,3.700523735031368222e+00,6.098754751400684349e+00,1.789335343678753049e-02,3.661796926396099772e-01
3.720541827175595451e+00,9.676969038237125176e+00,2.854117296460947570e-03,3.235800051907880448e+00,4.639055770471555817e+00,7.407030770491057018e-04,6.010683489228607623e-01
4.367173017240038035e+00,1.000992253247429353e+01,1.749463877286853335e-03,2.565083307086252873e+00,4.299607234842636849e+00,6.016888660002116078e-04,6.948845264520130405e-01
3.338567639365414230e+00,9.658035989945309652e+00,2.175310783520775781e-03,3.496004819869995117e+00,6.043179901723329195e+00,8.059696032580574614e-04,5.204944773600791441e-01
3.374674291868467790e+00,9.674412222166319353e+00,2.261168877845881955e-03,3.442997550964355558e+00,5.726396336426605949e+00,8.855880927168637874e-04,6.122056334808065881e-01
3.114152160557833504e+00,9.701282838885292747e+00,1.131557181764964413e-02,3.653848442734713764e+00,6.196536675594639831e+00,6.086671937693748265e-03,5.935311160589519242e-01
2.848597137958972514e+00,9.555563740916065640e+00,1.021883276531077717e-02,3.961741641486361765e+00,5.947592097443419767e+00,7.522143063728104623e-03,8.258339026660630466e-01
3.159892677501508373e+00,9.683602369515000419e+00,2.359300917073799651e-03,3.692834275543309897e+00,5.217617698535797821e+00,1.074484737988881710e-03,7.178805191900320404e-01
3.527651972371369293e+00,9.656856964374410879e+00,2.795713812025639889e-03,3.462620756309020553e+00,5.283046110510238869e+00,7.776387653478738192e-04,6.292687281599185223e-01
2.848652986737040926e+00,9.623458261613722087e+00,8.067113899190413856e-03,3.822793944315476811e+00,6.260250998781873299e+00,3.903569212159166066e-03,7.170618951997973500e-01
3.327892985099401013e+00,9.705954074859619141e+00,4.705983636459001342e-03,3.762097835540771484e+00,5.248589384250151646e+00,2.213528401066119315e-03,7.418973287806297501e-01
3.722278402640474049e+00,9.893927159362565504e+00,7.553617670555637376e-03,2.956991355215306427e+00,5.955239358001482408e+00,9.975239905752900094e-03,5.291255250517763464e-01
3.753265437152650819e+00,9.934042036533355713e+00,2.696693583453048035e-03,2.669205613434314728e+00,6.222607139084074035e+00,1.779537069928159706e-03,5.291184013217894444e-01
3.695613909811869213e+00,9.806052730031257880e+00,8.280649464271526775e-03,3.534827201035771083e+00,6.444750657046798281e+00,1.318651400625460955e-02,5.292919198472569864e-01
4.052042093433317227e+00,1.015250653647334111e+01,3.732461736746173035e-03,3.501294642849698047e+00,5.997741404778318852e+00,5.729129970521548883e-03,4.013781426219992232e-01
4.110594593561613053e+00,1.063772793305225939e+01,3.348306307975107334e-03,3.193754960329104886e+00,5.995916595825781847e+00,4.934536984178404355e-03,3.814053033024836781e-01
4.273645763527857078e+00,1.042470081973837992e+01,5.784431706314490003e-03,2.878687593490565799e+00,5.693309987516707693e+00,5.899546934253446610e-03,4.044376419491419461e-01
