region,model_p,model_q,r2,adj_r2,delta_pred_max_age_minus_min_age,min_pred,max_pred,age_at_min_pred,age_at_max_pred
1,0.00036568741501537803,0.0005224105928791115,0.010492524458912467,0.008473121447604148,0.003136509349302946,-0.0007539785014896768,0.002382530847813269,5.17,97.0
2,0.07675859712144588,0.08528733013493986,0.004294160853596685,0.002262108120644868,-0.007890678340318532,0.01472017624881066,0.023971303952070058,84.1438,5.17
3,8.61955057273816e-06,1.3681826305933589e-05,0.014574610711833413,0.012563538488796322,0.0032970227625389193,0.00030224508074523464,0.003599267843284154,5.17,97.0
4,2.9995259971811562e-31,4.999209995301927e-30,0.07326837659216279,0.07137708756479988,-0.2966539879576165,0.0864618435339824,0.3831158314915989,97.0,5.17
5,1.3196129579730323e-29,1.8851613685329032e-28,0.0696354911336814,0.06773678805436234,-0.09101773486201595,0.006089846788762218,0.09710758165077817,97.0,5.17
6,3.6323641975052156e-05,5.503582117432145e-05,0.013021503057130346,0.011007261226634646,0.007066049329283407,0.004142533473065535,0.011208582802348942,5.17,97.0
7,5.27559319773999e-09,1.2560936185095213e-08,0.02239164677798766,0.020396527689779398,-0.06652050780827992,0.09665058511187705,0.19413418965353893,74.9608,5.17
8,1.32071920833984e-14,5.742257427564522e-14,0.03561442823302163,0.03364629441308897,-0.09166971815547642,0.06429583804272423,0.15596555619820066,97.0,5.17
9,0.030489153941096442,0.035869592871878166,0.0054281029148887106,0.0033983643494088778,-0.004103586858698587,0.022893764228047012,0.032829091591282944,88.7353,40.9837
10,5.659663872702839e-08,1.1550334434087426e-07,0.019909642135793937,0.017909457731989376,0.012151589675749561,0.003969026001229368,0.01627005998677016,5.17,92.4085
11,0.005314293166045995,0.0066428664575574935,0.0074792107491739035,0.0054536581180497645,0.0018293712600727981,-0.000675921888002848,0.0011534493720699501,5.17,97.0
12,8.796426277818569e-20,7.9967511616532445e-19,0.04754688061497314,0.045603098738677184,0.021967440119077933,-0.0009459200441923324,0.0210215200748856,5.17,97.0
13,0.559127332391008,0.5764199303000082,0.0015247037729113622,-0.0005130009132663371,0.004821370595232523,0.0033780363284980405,0.008199406923730564,5.17,97.0
14,0.11803237718217642,0.1269165346044908,0.003746275833764745,0.0017131049681193833,0.002054336282250102,0.016912117182855957,0.023772085906499346,64.8595,18.944499999999998
15,9.453251167498216e-05,0.00014109330100743606,0.011980057966189839,0.009963690737549435,0.03918083999911411,0.004535158900760158,0.04371599889987427,5.17,97.0
