region,intercept,beta_age,t_age,p_age,q_age,r2,adj_r2
1,3.815392272387688e-05,8.851576940098105e-07,1.036417380311986,0.30013511790029745,0.5277411182643118,0.0005469044945192181,3.7758750502159266e-05
2,0.003139735162939809,-2.447509295214026e-05,-3.2136863600717325,0.0013316838223449068,0.014796486914943409,0.00523368703642435,0.00472692885355952
3,0.00019616436623004588,-6.977451311171805e-07,-0.7986201242462285,0.4246073240493669,0.5897323945130096,0.00032480231576659246,-0.0001844565725086511
4,0.09438535069412235,-0.0009530281080823486,-5.750650518037784,1.0287409476480035e-08,4.952126964904794e-07,0.016567546072575157,0.016066561633488297
5,0.010206449512151413,-0.00010728484196896116,-5.687153733817008,1.4856380894714384e-08,4.952126964904794e-07,0.01620959702677216,0.015708430239725124
6,0.0008358741673710197,-3.634586108991038e-06,-1.1309725843268257,0.25820478467283686,0.5164095693456737,0.0006511798588899609,0.00014208723528263967
7,0.03930185661040182,-0.000313869063737781,-4.083458967170633,4.6151293687066134e-05,0.000769188228117769,0.008422918000649204,0.007917784489696933
8,0.029683507889435495,-0.00027430831963711253,-5.361873199431545,9.20709788047473e-08,2.3017744701186825e-06,0.014434386225712914,0.013932315103056592
9,0.00521886741274269,-3.3911484570587704e-05,-2.40119679065813,0.016434038819623614,0.10178776669676645,0.002928609479874167,0.0024206770343723205
10,0.0024429655695160915,-4.225660856363809e-07,-0.04186214416731154,0.9666128517973656,0.9953590957148559,8.927343605469318e-07,-0.0005085311613428622
11,3.145244471214876e-05,4.9097259923631506e-08,0.12974883649831698,0.8967784363863447,0.9474733910561838,8.575963422519095e-06,-0.0005008440182567853
12,0.0007678763384601393,8.639193145943398e-07,0.21370839675218226,0.8307966566965538,0.9030398442353846,2.3265520262882866e-05,-0.0004861469781984873
13,0.0008321577043999373,-4.8329195298208985e-06,-1.416153035222296,0.15688935538632215,0.4240252848278977,0.0010206024512238177,0.0005116980204806776
14,0.004539584455870751,-3.405978025547158e-05,-2.1182333795944426,0.034280655274948245,0.15582116034067384,0.0022805298584600564,0.001772267265418015
