Xi_estimate_Power,Xi_estimate_Width,Xi_estimate_Exponent,Alpha_estimate_Power,Alpha_estimate_Width,Alpha_estimate_Exponent,Alpha_estimate_PAF
-7.809061954720072918e-02,-6.732305437309005214e-02,1.335495981198670856e+00,-2.208011489722731726e-04,1.947524456018439806e-02,2.215320258879433651e-02,3.562374084865788798e-02
-1.101995192009715269e-01,-1.465941798232016646e-01,1.035254085785536349e+00,-2.898661459489635327e-04,1.852781556406207439e-02,2.245453784073828465e-02,4.101862226179429916e-02
-1.448178478718780415e-01,6.925312261726956908e-02,1.207543969821257335e+00,-5.466370610877750204e-04,4.144778137824745023e-02,5.189874318185017793e-02,9.206197805651886168e-02
-4.108666548395220608e-02,-9.233563513386783272e-01,2.129395588511451720e+00,-1.129113289560073350e-03,1.773546239168653435e-02,1.884805527969196301e-02,3.943650561408785366e-02
-8.693192298478158442e-02,-2.586652200017467429e-01,1.858951378714072566e+00,-1.741466193648072403e-04,7.245083347904085133e-03,9.537066913674372565e-03,1.477527237118237205e-02
-1.623619114028147792e-01,-3.375917447913061586e-01,1.887763292016443994e+00,-4.166011384506386646e-03,2.884143794029385421e-02,3.531537689012308190e-02,5.907215648397722702e-02
5.845214449982663596e-03,-7.148934952211606353e-01,1.909397575281246429e+00,-1.837835301594490278e-04,3.596941286498673944e-03,6.591434160615490707e-03,1.046925354048758652e-02
4.903751445178156088e-02,-1.073286060014677634e+00,2.134904056358989166e+00,-3.165526847803724897e-04,9.010083832509131405e-03,1.073854096370451677e-02,2.219378893513965917e-02
-1.043356890103568912e-01,-1.221234323552612855e+00,2.391043113092123917e+00,-3.599196363182936235e-03,3.805841266818094787e-02,1.471025886647401269e-02,6.300554861654977801e-02
-5.734271692552250776e-02,-1.080227120499303695e+00,2.139429883716932324e+00,3.358599323558608761e-05,5.186125217318380718e-04,9.562056824307090669e-04,1.419284590079190412e-03
-5.867193945071935007e-02,-1.041949176333600846e-02,9.212503921410541974e-01,-2.999385079259553376e-04,1.294328260309130299e-02,1.396975584916028065e-02,2.380593712215422694e-02
-1.338871229884251446e-01,-4.904199715440406004e-01,1.938261923078645754e+00,4.360172902236008176e-04,3.177444089858139781e-02,2.908382472215674183e-02,5.475445608106539741e-02
1.040164563638660000e-01,-1.451835711128642625e+00,2.157508858472069857e+00,-2.784652018377130922e-05,2.055256858314483820e-03,2.568900596629740667e-03,5.378517779983815576e-03
3.318766430388388200e-02,-6.725745416945485555e-01,1.842816990316734183e+00,-1.875411756023850625e-04,3.519288246861727431e-03,5.495675794873780724e-03,1.051198898010369601e-02
-1.045801273845485824e-01,-5.063951893955010997e-01,1.990484761159458493e+00,-2.694622180865146894e-03,-4.980106620707819981e-04,4.464292265368978441e-03,3.738482507986456288e-03
-1.116940688779110846e-01,-7.955021203667855811e-02,1.225310916322138954e+00,-1.211302623625745917e-03,2.174479835352908369e-02,3.268235047588631537e-02,5.413992105229459978e-02
-5.325022234520659925e-02,-1.226718509861193240e+00,2.271703699497127360e+00,-5.381233011559339446e-03,5.179787601193162894e-02,2.904338725695161660e-02,9.815633589706358741e-02
-1.132058058916585730e-01,-6.089307772021084197e-01,1.302661611705491218e+00,-1.177646701290969381e-03,3.191016112946667982e-02,3.369727442781690618e-02,7.844380163965644637e-02
-2.210167868419172024e-02,1.036147449934189391e-01,9.168327618120222233e-01,-1.260814293398682412e-05,1.097431559981838734e-03,1.042520262663742224e-03,1.839103635429936668e-03
-8.761001064306067621e-02,-8.255733735621222369e-01,2.004424153514868134e+00,-3.101491849676353205e-03,1.179884887022546180e-02,1.377884397199026154e-02,3.313047680116018578e-02
-1.702988162198690314e-01,-6.939960365953141697e-01,2.008250214588028548e+00,-4.450342576237514662e-03,1.031511535325656953e-02,1.272323138297564923e-02,2.749106797348421782e-02
-2.490706564725743144e-01,-3.792880581429618481e-01,1.753761576403223499e+00,-1.766591775434495776e-02,1.077595939911201589e-02,2.066916332263759454e-02,3.498286121565388762e-02
-2.497489191809733056e-01,-4.354813516791341543e-01,1.592282257699042525e+00,-1.601720271642247465e-02,5.676560351530872406e-02,4.095961817128233873e-02,1.146892942867882292e-01
1.217340405353715960e-01,-1.394820015351004638e+00,1.948598722326720267e+00,-5.725753511906165986e-04,1.770717506292465715e-02,2.755007303090301410e-02,4.942786296087807452e-02
1.370086984452151269e-02,-1.376189603828338548e+00,2.119634830152073324e+00,-8.020275667108779996e-03,1.212655478162215500e-01,1.160841344252051682e-01,2.632270492060094225e-01
1.221791250952175834e-01,-1.845934959930779717e+00,2.381098156661493714e+00,-6.540060875953312156e-04,7.494378737985349370e-03,6.799562313729297196e-03,2.256289387451200848e-02
5.639360813505650549e-02,-1.790947936280497865e+00,2.361938810366072783e+00,-1.064205776102068908e-02,8.684591400027860675e-02,5.161300749415629469e-02,1.888954757018677377e-01
-2.003356800018763206e-01,-1.414364217042186844e+00,2.384939614172724376e+00,-3.556896999642416082e-03,7.916827927085697686e-03,-4.225761319264997873e-02,-1.838168456174114895e-02
-1.320125515249948867e-01,-7.198104081741684146e-01,2.295156542592534876e+00,-2.751421195371171920e-03,1.954210480944039083e-02,8.657167150587122967e-03,4.070223237495319835e-02
-2.023942427792246312e-01,-1.066742722680937394e+00,2.293622005254476459e+00,-8.057126122631003400e-04,2.548959634457600119e-03,-1.514918342115921350e-02,-1.437320960276954399e-02
-6.414162802937936614e-02,-3.019926655957094752e-01,1.039503987445079103e+00,-4.017487569497246377e-04,1.455036846311872842e-02,1.988987846874312737e-02,4.233681828069481290e-02
-4.350370988361641073e-02,-7.428122210618537391e-02,7.064959083540401918e-01,-1.220241870033083828e-04,5.244782697211887966e-03,5.915164936424474953e-03,1.128571792876494236e-02
-3.479963552045350905e-02,-2.148531181594113271e-01,1.620123785825780871e+00,-2.727714097976540841e-05,1.643296677466807732e-03,3.598086372857478739e-03,7.233878963622382419e-03
-9.825634706363456372e-02,-3.373923132177654161e-01,1.485663343534358027e+00,-5.523369727641484804e-04,8.668590333485177296e-03,7.067052872017086894e-03,1.976613604466340504e-02
-2.722002185051783929e-01,-3.718411081055160716e-01,1.717939571177946378e+00,-2.562598673524132259e-02,8.280749088962396920e-03,-9.620283096878498585e-03,5.383444134227463596e-02
-3.626029137782612599e-01,-8.388196640489687939e-01,2.003828354140495094e+00,-1.375421613283457911e-01,-7.050426361571077161e-03,-3.100207319482267132e-01,-2.863706925909301204e-01
-1.309832534267808546e-01,-5.908299494773291416e-01,1.518689426121973440e+00,-1.528003734807139181e-03,6.643746503122823638e-03,-7.171360193899524796e-03,4.479633899516718282e-03
-7.622821185965485136e-02,-3.765116011251473660e-01,1.343603211873283243e+00,-1.428219235053572195e-03,8.592063608644444350e-03,8.803951203294121952e-03,2.548467160498926048e-02
-2.863454204036430806e-01,-5.898553120576841557e-01,1.788727407439724360e+00,-2.669122154867707014e-02,4.196548068239594476e-02,-6.264901019549186378e-02,1.031885583766192771e-02
-1.904065484377441830e-01,-6.092879877159906865e-01,1.549404047391864214e+00,-1.139229608230007268e-02,2.128534677174834591e-02,-2.641515154809631963e-02,9.767682715246153724e-03
-9.436449208047177628e-02,-3.442894884964702307e-01,1.641797815563204921e+00,-4.901409854059967514e-03,3.692299295409148807e-02,4.749444284205157907e-02,9.392513095391895328e-02
-2.912114117446324563e-02,-1.185820073841123978e-01,1.648592205585327708e+00,-6.962244935950043408e-05,3.420680810634182337e-03,4.360988133454896110e-03,7.981007355227368386e-03
-8.349256062213164520e-02,-7.183085072973054430e-01,1.994084653794988338e+00,-1.802898907148865401e-03,3.736655313809698897e-02,5.625619874190823655e-02,9.504667742362007954e-02
-1.319860154545921260e-01,-3.520502764054977973e-01,1.690458448463424190e+00,-1.608918150799180415e-03,1.408902203312257032e-02,1.547900482660354363e-02,2.701429465829417731e-02
-2.235946391702927083e-01,-2.744071119282862625e-01,1.655476995033034138e+00,-5.248605023175366077e-03,1.523461645472262878e-02,1.278840583602461681e-02,3.160461297628908151e-02
-2.581286745397965987e-01,-1.885918447474648207e-01,1.487102500977660391e+00,-8.564667509704027015e-03,4.025894635274988864e-02,4.059669290639668360e-02,8.550663700732571981e-02
-2.083486728541978361e-01,-1.813259274041989499e-01,1.301898733274289732e+00,-2.311090066859855345e-03,6.044136397776759401e-02,5.531861032944300482e-02,1.192266258734970830e-01
-1.666879838298963024e-01,7.475389277500466001e-03,1.176563823546771914e+00,-4.294063925662133839e-04,4.918812353803653226e-02,4.921646080897282283e-02,9.636993339560956384e-02
-2.908632801448486349e-01,-4.805572592836327983e-01,1.642518175821310322e+00,-1.519442597556392577e-02,7.731653090520204663e-02,8.251106722587872588e-02,2.193865860124280254e-01
-1.858932514068054875e-01,-2.231022141364317202e-01,1.492163845469214767e+00,-2.038017757356028192e-03,3.658359875239760445e-02,4.293408134471991128e-02,8.147236417073566717e-02
-1.647827444022353371e-01,-1.993161112711394622e-02,1.282083101151226590e+00,-1.710960338037601251e-03,4.181123781160792086e-02,4.820958900566084393e-02,9.285270088277181033e-02
-2.331874255583033795e-01,-3.299296607755167754e-01,1.358783457141449436e+00,-1.774784992985707285e-03,8.044624397853902820e-02,6.405447535941444226e-02,1.470890954103907799e-01
-1.679211447110478816e-01,1.326175901904724785e-02,1.084386512044233974e+00,-1.327496571806769960e-03,3.891187127250668454e-02,4.875663622821162224e-02,8.723057866629849166e-02
-7.866325555485467746e-02,-1.010316686657939833e+00,2.168412084589522060e+00,-6.754106575220912307e-04,1.433590668900235759e-02,1.871503140386777952e-02,3.277358317120317166e-02
-1.512627135261622735e-01,-3.365949249036200852e-01,1.778394158616416476e+00,-2.197953811019356051e-04,1.042158028158741631e-02,1.309848073348377981e-02,2.072405531626836384e-02
-1.938739197528673297e-01,-3.670141292695133783e-01,1.595175095768244455e+00,-1.455244560003093879e-03,6.303760880053750626e-02,1.174105915877913520e-01,2.163617532900833085e-01
-1.808405126631572879e-01,-5.020374465294374922e-01,1.753914364965689643e+00,-3.635880983533899911e-03,6.681127812820243650e-02,9.150970020404315675e-02,1.673188700845701371e-01
2.860340370349367944e-02,-9.906379942172733877e-01,2.095775322229179061e+00,-5.182349079347226429e-05,9.732500527567501669e-03,1.322592716002306615e-02,2.246081318715010405e-02
-7.732670425204130060e-02,-5.896599541470481931e-03,1.075095990137376001e+00,-4.668625050913868639e-04,9.502535141681957287e-03,9.337146242979680807e-03,1.909830708344759445e-02
-9.418130057724569126e-02,-7.642342193229336722e-01,2.036567082346960600e+00,1.523726161533414127e-04,1.062033684919628032e-02,1.114276401553109842e-02,1.945991810298582786e-02
9.022536419680160513e-02,-1.624194551824646338e+00,2.213053445667583663e+00,-7.282310411978992325e-04,7.788363087095535181e-03,8.789438969984533778e-03,2.025199178457117583e-02
1.690486870122460961e-02,-7.929044353958618618e-01,1.899517382581955793e+00,-6.344616505727493816e-05,3.892319977752403334e-03,4.880590650786231083e-03,8.523046183340557413e-03
-2.369950984525799054e-01,-3.622984950478760902e-01,1.607160777853549938e+00,-2.953745397788031489e-03,9.386421612308186446e-02,1.021770707820324753e-01,2.066842896416126452e-01
-3.371287674547533975e-01,-2.901986476663489523e-01,1.439630837220050363e+00,-1.022605525836362689e-02,2.034246712529407253e-01,1.183388119369473968e-01,3.439264875662143561e-01
7.649090510035794210e-02,-1.737746136111545825e+00,2.330139435016699956e+00,-6.001243860491732411e-03,9.938080519141392899e-02,1.023194020121304393e-01,2.395796611701720980e-01
