component,canonical_correlation,shared_variance_r2
C1,0.9260260956939989,0.8575243299062711
C2,0.9013876832422754,0.8124997555008765
C3,0.7806446420001786,0.609406057083587
C4,0.7665968889166279,0.5876707900966528
C5,0.6083707135004252,0.37011492504501636
C6,0.561763135858479,0.315577820809552
C7,0.32410446594063963,0.10504370484266723
