name,C1,C2,C3,C4,C5,C6,C7
5HT1a,-0.5009146557800798,-0.16759192493108144,0.4314032027574434,0.20081897937453821,0.04360151976653528,0.4002012798434411,-0.05216784975250783
5HT1b,-0.3913098939038767,0.2901059377674207,-0.3905446281971902,0.12240324210534076,-0.21673870774625043,0.021325022408684283,-0.12160735311465028
5HT2a,-0.35223011144677174,0.2290527068037244,-0.3005998408715972,0.26733621884845027,-0.07789734079755355,0.4037434481294823,-0.19479941889814636
5HT4,-0.2076880088544625,0.13843566897530357,0.1213364844427478,0.48668091062155827,0.17734988120011022,0.3780068757050428,-0.2097294767576794
5HT6,-0.38626319464817604,-0.2376690560354501,0.14906456737525914,0.1350302778762094,-0.2184456628937742,0.22386619646567277,-0.24183042917797018
5HTT,-0.21277400690781637,-0.5238061877407928,0.36537165117941456,-0.33439507074814406,0.24047472578591692,0.21018835412896936,0.003627172242843151
A4B2,-0.4322204286360195,-0.01844702775025944,0.23069452065672105,0.26559647375919043,-0.10596938949879671,-0.16226500519990086,0.2123257679512562
CB1,-0.702347382700708,0.232234160880399,0.20031615262547,0.26976196198136215,0.25250079763926875,0.0022776517988579536,-0.15769622228608834
D1,-0.3880764856713793,-0.6751273914188733,0.07916163687036729,0.1803281852867337,0.1805054016806313,0.40094897456334927,-0.111209746596977
D2,-0.388544663739792,-0.0305014708664261,0.5054624540791031,0.0806496262318105,0.12252109333217931,0.38511673063590646,-0.22462064018719854
DAT,-0.26363109696316295,-0.5602589416590532,0.40245580868931774,-0.16007533257710108,0.14019219257462995,0.395095554053505,-0.1877360572259887
GABAa,-0.007966152128275705,-0.32641772602017727,-0.1633172258384821,-0.10811941574540135,-0.1006776203849648,0.26217910012051177,-0.02903520356712733
H3,-0.7054147564327277,-0.20419065376573348,0.037441577587338695,0.12898546130922983,0.00881052594994282,-0.28432002581004095,-0.10800884484732894
M1,-0.24746824879991886,0.18927696514098066,-0.2969404201725914,0.34367185572847897,0.15881285413235416,0.3123287729943298,-0.37872917041773185
mGluR5,-0.37666619462055034,-0.2019731677597414,0.1547799265019107,0.4781896677892568,0.08267696175489167,0.2425168886595219,-0.2958259951603751
MOR,-0.7200637693761129,0.0028421236637962196,0.23871395929947745,0.43101779314229094,0.08835090654198392,-0.08502604624741854,-0.1040067563177408
NET,0.18954306877512794,0.11782674323154393,0.38335298442775445,0.20390297247722883,0.03655101195806026,-0.2725996821317484,-0.18439521914954723
NMDA,-0.08634836587363669,-0.7553085450878156,0.23521908658371896,0.01955739935319272,-0.1296132774620266,0.17927041238646313,-0.2122815150127362
VAChT,-0.25576196697104236,-0.34393920187135885,0.587088176233592,0.01129421520689469,0.13139710599793777,-0.06759299009030023,-0.05660649811075865
