name,C1,C2,C3,C4,C5,C6,C7
5HT1a,0.004473893310461222,-0.003329774742457587,0.18634037484904775,0.13761721620996098,-0.4112229227682242,0.209107404825287,0.32249836214150596
5HT1b,-0.24304705457536604,0.21197445275896662,-0.18531454671038228,0.2300339954766277,-0.2793098951739086,-0.21390211887563051,-0.1564125329610337
5HT2a,-0.2589171400012396,0.10949369443960177,-0.13708234355792656,-0.43790398316077545,-0.13480614773818517,0.28518491103353694,-0.0956403379282643
5HT4,0.4785348072096484,0.2493587827037916,-0.20794652353786935,0.41057715425105906,0.1982287339394914,-0.1544546910976613,0.05367693643580115
5HT6,0.11364763734905298,-0.4005358553229723,0.10498242521235415,-0.05904655211962227,-0.2188741031827624,0.012574210084673255,-0.031059193730614904
5HTT,-0.3078406383813761,-0.0707465936730345,-0.02868929485952798,-0.02808148481976926,0.3157661079354344,-0.06901238941493758,0.3385629705213848
A4B2,-0.09809957989411167,0.04560566162239388,0.018232207565605507,0.09858680550626986,0.10109631287826228,0.10873914394935678,0.4981650110640744
CB1,-0.3256612597042977,-0.16307680291510007,0.023347758571625427,-0.26144421499099796,0.25265738476606153,-0.3127399991089906,0.14386444701385517
D1,-0.1670538584881418,-0.4445502935544134,-0.14913334997861408,0.37152358496706056,0.32048470908338905,0.4210002089697869,-0.0493642873840265
D2,-0.3371249103959888,0.5567695916566407,0.2317041385180015,0.11249712458191496,0.001960318326734918,0.1330570207519939,-0.00518672465892249
DAT,0.2342520441693126,0.07072549458558706,0.07530679609763048,-0.4348820549148181,0.060530848440252395,0.18107881311145124,-0.1980629402161217
GABAa,0.15368675717093805,0.21590387590477453,0.1380567364396733,-0.11970478579142568,0.18778742531222745,-0.09112564634050949,0.2797503809986537
H3,-0.11364029892055254,0.11669305139418261,-0.5203878778781894,-0.017045295541321642,-0.13038339848468233,-0.2623635827475227,-0.09530139546151237
M1,0.2350198240074958,-0.04670832570157602,-0.31832489052773544,-0.16040939875444624,0.19430531286400837,0.06790204454283053,-0.1139354432537864
mGluR5,-0.1966373268864164,-0.08395289253767006,0.07904412992371791,0.26128635042604287,-0.18535251899689126,0.16390972946814897,-0.3315662939829002
MOR,-0.02747062886794363,-0.0762972588945736,0.42897452415762777,-0.0016325884134874979,0.20829089902946787,-0.380529222586899,-0.33964817275824993
NET,0.04885030953380748,0.17676012500537494,0.35096328807612914,0.1321620406763852,0.28092597299752997,0.18533395148901033,-0.24328645389086195
NMDA,-0.06701466151708767,-0.25065662262706706,0.1743671134951285,0.11535298375271355,-0.1811492004593462,-0.41805171364647253,0.04753105125913763
VAChT,0.2949806361756999,-0.06931088967156089,0.19885091269379432,-0.07911885808197536,-0.29643239992065484,0.02265085342076229,0.21514077746904214
