name,C1,C2,C3,C4,C5,C6,C7
5HT1a,-0.07055550650079061,0.041896420310613705,0.08981479448888408,0.5093433199771517,-0.09261178858187431,-0.23733193342722053,-0.11366850144508245
5HT1b,-0.15003570029195323,0.17035437829831648,-0.1129878582684905,-0.2895576902754459,-0.2759660046944302,-0.45767444901377313,0.12030837639550875
5HT2a,-0.1179290624951143,0.3744782872034848,0.021058130090402964,0.12948052184897954,0.42328449697874543,0.2630741989815339,-0.07928398353608243
5HT4,0.5194065932940061,-0.10099314360437266,0.2894771820821404,-0.06034668613532392,-0.2000158148783172,0.05668753869036659,0.30460766030618824
5HT6,0.05063145683780425,-0.3450905185278417,-0.20652513457142915,0.0668050086630235,0.05169389252093105,0.15953846534936658,0.13836318125654407
5HTT,-0.034561455536264316,0.12455643796831191,-0.33919709323057595,0.07274292530218515,0.12005296496103685,-0.06744325583105866,0.16602549419721735
A4B2,-0.13060526068493797,0.11442281949867616,-0.1589626719939694,0.06535958609600066,-0.18642650564766505,0.002762428622022134,0.045128621679323466
CB1,-0.15558871963682086,0.143220709126169,-0.3364409048760352,-0.30611915747363805,-0.021898166693756885,0.24718601292152106,0.3655383601214959
D1,0.3063875158849591,0.2001840883059224,-0.4430471922371054,0.20686038770824278,-0.2023371457932037,0.09738229764415123,-0.3127497335711113
D2,-0.10022885969021385,0.5327094432598964,0.2649023978278175,-0.17890207774137987,-0.04331634012299606,-0.1539648380111476,0.07723213420386497
DAT,-0.015138435889361897,-0.259210368066628,0.14872077856666555,-0.39027083566610316,0.510071895840594,0.02033966024548915,-0.04778199709662132
GABAa,0.05895900422774234,0.11909751064842737,0.3569351447385142,0.055678617815002024,0.002467537386084907,-0.08756301674375669,-0.12383717701650405
H3,0.1802015923509982,0.08668078643146615,0.15600682319750167,-0.03028928177866832,0.13539467815866438,-0.34893475211369196,-0.018359872783165376
M1,0.04953814791183788,-0.1779294208695154,-0.07896711075732474,-0.15945440679268486,0.013929641168893874,-0.03596317621793504,-0.6295519752617321
mGluR5,0.03681022524363415,-0.034833060852342404,-0.16535129827456133,-0.08900248531702866,0.022732884001101506,-0.11422628945883292,0.06911674383708659
MOR,-0.6937180108179257,-0.20402259819194182,0.11142680302167914,0.1574997299548421,-0.060453111444611546,-0.028789094089810254,-0.03960332033494225
NET,0.07140181595205752,0.18718286979855778,0.09937878526562752,0.3913642213658435,0.2973605202857578,0.20450129692774213,0.22497742063167828
NMDA,0.020452011398053593,-0.34296589327494126,-0.061483444368589234,0.2934475189319719,0.08781189484390028,-0.3645524211794025,0.3386196188841637
VAChT,-0.11458545220826777,-0.10335697705717536,0.31430194539164685,-0.005174835896634422,-0.4711082749430814,0.46665028301110834,0.0384382339260879
