region_index,x_score_C1,x_score_C2,x_score_C3,x_score_C4,x_score_C5,x_score_C6,x_score_C7,y_score_C1,y_score_C2,y_score_C3,y_score_C4,y_score_C5,y_score_C6,y_score_C7
1,0.08723276140856208,-0.4540623024240876,0.41202876222523516,0.5319081798566616,0.07640288905118672,0.07951188915395367,-0.07706928304590427,0.15068924393883756,-0.10282107406716214,0.687165969824025,0.7140629910328506,0.15546639499868634,-0.21799918301113247,-0.7276612821783088
2,0.404513015529849,-0.11563165020528414,-0.10860227195723626,0.3294110206740296,0.13614819381173102,-0.38815278283848614,0.15175511283895457,0.7936233443667188,-0.044147932409723936,0.0996450962028866,0.15257651830828978,0.3237882340904792,0.0006634866857346864,0.8263850099604665
3,0.3996685398427398,-0.13396396415799156,0.20723100806008218,0.8741783863067162,0.08052460940481082,-0.19876386019704828,0.072495645968804,0.970016834804339,0.08211292209213146,0.08654840689888375,0.7020686846578215,-0.07229425527230605,-0.6525270923970131,0.5990772766905136
4,0.414543623896286,1.3470097290525311,0.8308009997965403,-2.556108692794396,0.5954045884190526,2.0172710680275134,-0.25439257056335113,0.5515352969441502,0.6841854037286668,0.22812554879706873,-1.0812575520725856,0.7997813272275297,0.8481275984885756,-0.6297662978304265
5,0.6287552996159673,0.05643071896210208,-0.6958731367654918,-0.4926138123489333,0.11506786070894577,-0.8645264433591406,0.31006254114310033,1.108219279140285,0.06284460265928428,-0.2713523707528532,-0.9315475035007981,0.4746281318430649,-0.9494589373672037,-0.19382620774455872
6,0.5149392200549203,-0.34602208078071883,-0.24227427906910817,0.3782082057169148,0.017331982521870903,-0.0005003986023171572,0.07289509711980373,1.248773028883551,-0.0971445581550134,-0.785949391587768,-0.12282406983509175,0.047409129378407015,-0.8575189231956468,-0.19846679595052272
7,0.15239891229952293,0.8623733225277042,0.45631215636325656,-0.7957068572373183,0.024613660072068062,0.8914251949184824,-0.5946356970718755,0.4326514020981085,0.2515336571149591,0.04161562496508407,0.127990174232568,-0.0412482047234984,0.2146575748651134,-0.014476482361972617
8,0.29874157879723484,0.44706296819070046,-0.07512001136891883,-1.5835641483546106,0.2378301456769079,-0.20611635200644707,0.43020163518131493,0.6882168768031155,0.4188579764039781,-0.12135589362082183,-0.5957952009782939,0.051623993560611744,0.6153886055652571,0.22570021390105643
9,0.6214708908166745,-0.2415116951746235,-0.6713959399547059,-0.6475726876300975,-0.10368346066900194,-0.23040118355744768,0.25736134381253445,1.3094433573330555,-0.17554932946669793,-0.5367383734117125,-0.06064575438564033,0.22136254536721583,0.23046939690824575,-0.23184285930271875
10,0.13679432371893152,0.5796762340904664,0.37825616913264926,0.9546149036853975,-0.04724022180419302,0.24227459337213678,0.41922821910452523,0.4813012666026578,0.34675540906646884,0.4320937622772121,0.5604658441335286,0.17714743234925645,0.1567094352848959,0.3604138329121725
