Xi_estimate_Power,Xi_estimate_Width,Xi_estimate_Exponent,Alpha_estimate_Power,Alpha_estimate_Width,Alpha_estimate_Exponent,Alpha_estimate_PAF
-1.815444764529753341e-01,-2.241064835291947333e+00,1.228332818354694655e+00,-3.271082381018669549e-03,-8.211863979206994804e-03,-6.889531841786986424e-03,-1.479046434939194736e-02
-4.247612252992831183e-01,-2.334753752397765947e+00,1.316137671271547127e+00,-6.326664377278758003e-04,8.913084971019433200e-03,9.697517885770577661e-03,2.031027473406019773e-02
-1.795039859242677782e-01,-2.402423719375337718e+00,1.408050039781303830e+00,-5.028765218436737159e-04,-5.097747448138006433e-04,-1.259286168805877348e-03,-9.645540224101196124e-04
-2.764383817161205070e-01,-2.201993917132014200e+00,1.287635829772866725e+00,-7.063928035286401105e-03,-1.466913473636856022e-02,-1.613771750611954492e-03,-1.291783944579354484e-02
-3.129791645992007765e-01,-2.198837525558620776e+00,1.197851725851720062e+00,-5.951900830990464143e-05,3.071203030461102171e-03,4.708962470668450091e-03,8.294154970827388729e-03
-4.098284569148609724e-01,-2.305500939045468378e+00,1.256781614695851923e+00,-1.844462733214584859e-04,7.734840623107714502e-03,6.954265336170904754e-03,1.515823279311101501e-02
-7.358592423814153127e-01,-2.375476597300336223e+00,1.354610197595261134e+00,-2.544890809689427658e-03,2.370501902156180174e-02,1.640618767084656149e-02,4.575355529759762840e-02
-1.535393718141819797e-01,-2.353445604985171968e+00,1.381474042762668830e+00,-5.391991410005504541e-05,-1.086325994928740704e-04,-4.527880028804194025e-05,-3.426809208905342305e-04
-6.887856242427767284e-02,-2.090558554525058454e+00,1.106060650312500115e+00,-7.788190273225977824e-04,-3.519166356454669388e-03,-3.593302818440120838e-03,-6.965418644998240712e-03
-1.931565296191039560e-01,-2.355192474205767716e+00,1.471556691437073239e+00,-6.281231297471709775e-04,1.064075923017559870e-02,2.705453591989462683e-03,1.370053640215797286e-02
-3.922423377857648386e-01,-2.282264818418368701e+00,1.187832383491214561e+00,-4.138188179697349558e-05,2.478289092161770242e-03,1.490528304877428503e-03,3.751995863200879421e-03
-2.227919141790457025e-01,-2.291344160646671568e+00,1.156900766480272402e+00,-6.737645987942478373e-05,3.783412808349001771e-03,3.399172244358231350e-03,7.688687676347775134e-03
-2.471816992627025589e-01,-2.131027694379117321e+00,1.293763107592605710e+00,-2.485753716655176877e-03,2.209418046836295578e-03,5.908148373319473644e-03,9.419523181610959736e-03
-1.472279685859587128e-01,-2.207688580573025749e+00,1.143747082615239385e+00,-3.365575380600811708e-03,-8.760953902768171125e-03,-5.925005790713370329e-04,-9.053136972234518409e-03
-8.384954955870509430e-01,-2.350394682311128136e+00,1.322661257109031485e+00,-2.745033783098778987e-03,4.236717750420420509e-02,2.871836516923245014e-02,8.045546325567221047e-02
-1.021938065992878120e-01,-1.827628201129432917e+00,7.079263663361671233e-01,-8.847907501700636237e-03,-2.873558835542046677e-02,-1.741457484209794904e-02,-4.920712091105067243e-02
-3.935244163645664622e-02,-2.139368512253701393e+00,1.174281182903631482e+00,-3.375361632942766366e-06,3.774439194475955723e-04,1.940250117503054133e-04,7.847307680891127965e-04
-4.145991797885552610e-01,-2.130879202874350398e+00,1.245497008261919447e+00,-3.900734437515702372e-03,1.068155000517207950e-02,1.417820501685612342e-02,3.078111447592975919e-02
-3.472035252231421287e-01,-2.064379196632475377e+00,1.291981912149959166e+00,-5.274866796697180032e-03,4.452588847731297865e-03,9.399437241170760515e-03,1.792978491186288451e-02
-3.351163798521935022e-01,-2.101086821867103716e+00,1.215737001558639285e+00,-2.312173417774446293e-02,-9.625389069870687181e-03,1.081600634177431325e-02,-8.001834434921625827e-04
-3.110390247326048629e-01,-2.090253120549312005e+00,1.091969550958531876e+00,-4.353060748008581726e-02,-6.707589127564252129e-02,-1.021354563742735838e-02,-8.051854993454646281e-02
-6.919242032235939366e-01,-2.171875311329217517e+00,1.084082644018989239e+00,-3.438197970639602264e-04,1.581036626492665284e-02,1.315715999927862673e-02,2.932404813968322518e-02
-1.121104888767507246e+00,-2.197036739296097441e+00,1.230083478187456558e+00,-4.423663485110750603e-03,1.073124449467849489e-01,8.162193348792530501e-02,2.007841647649827033e-01
-6.943049783414997345e-01,-2.215725729675511957e+00,1.315643343575351176e+00,-3.719850627284182953e-04,8.569119378941544851e-03,4.264478201376563360e-03,1.768029674512521313e-02
-1.277368342872793328e+00,-2.142107750253370302e+00,1.359695999559113355e+00,-5.405309825811131785e-03,5.888981260270093748e-02,2.495561662452593088e-02,1.121232576249204943e-01
-6.107450838636609980e-01,-2.310137006079187927e+00,1.402423876089546884e+00,-1.674741441925418125e-03,2.199689754744546186e-02,1.046614100150835072e-02,3.806581718332074926e-02
-5.015420865818328577e-01,-2.462230173709535119e+00,1.442988680577034444e+00,-2.060910899684390354e-03,8.200133744434012772e-03,4.773879292249734799e-03,1.968823462421302739e-02
-4.151843738845066856e-01,-2.345343515220937203e+00,1.419021653187261034e+00,-4.066734811989417778e-04,6.816068011830886744e-03,5.195810257813876509e-03,1.186313909575996417e-02
-5.906163712756481304e-02,-1.849522407196731333e+00,8.118035650490269539e-01,-3.350665418622970123e-03,-1.013675550517570932e-02,-6.355954894324382376e-03,-1.717906888970910720e-02
-4.524443260179043802e-02,-1.920833156712709933e+00,8.095519512533670969e-01,-6.664559584836118574e-04,-2.866016212465856416e-03,-1.932116571777301502e-03,-4.374295899893277349e-03
-8.927277778006453834e-02,-2.147305279303344250e+00,1.184121533771480106e+00,-8.068438298299884565e-05,1.853039683442536190e-03,1.062377715066200896e-03,2.826268306922159832e-03
-1.039958583242462237e-01,-1.930496823686013608e+00,1.068463718103092486e+00,-1.401657810106028213e-03,-3.136020714458624854e-03,-2.390194538882410916e-03,-6.486255080820797769e-03
-3.825473453927452083e-01,-1.926633402659177596e+00,1.125240597339411730e+00,-5.970008711633589815e-02,-2.488807618059220642e-02,-1.312719109145103757e-02,-4.053969367767108756e-02
-3.627198923803526265e-01,-1.806632531852942813e+00,9.031969394352146185e-01,-7.751506114374334677e-02,-9.014404300905107248e-02,-3.199422864875819950e-02,-1.444375424928413532e-01
-9.737122069399478663e-02,-1.813249967552809760e+00,8.994295281365904948e-01,-2.136028583689435212e-03,-1.166249308052590833e-02,-5.505037474371711134e-03,-1.880532136589973050e-02
-7.138716862555952170e-02,-1.909281742593953890e+00,9.490020790929405425e-01,-2.820020508175563601e-03,-9.779746588948859051e-03,-5.078586978333885643e-03,-1.576596796788836199e-02
-2.881687925976398335e-01,-1.876821354946607290e+00,9.778708096290799068e-01,-3.286764541402513451e-02,-6.476234324380124308e-02,-2.869071459177094385e-02,-1.025514655885017279e-01
-1.644591141313150040e-01,-1.854208447694351003e+00,8.458005339620936480e-01,-1.584830984261778597e-02,-4.640414725628516646e-02,-2.412942982559036775e-02,-7.715001377252150849e-02
-3.276135698548244823e-01,-2.049235272134213304e+00,1.212853369256258862e+00,-9.720026310455022467e-03,4.380610004023329472e-03,1.297180595856162189e-02,2.463054059299199169e-02
-1.395934477925259987e-01,-2.193548808824803853e+00,1.274276961257196916e+00,-6.387471874360538216e-05,2.700770193972061410e-03,2.365286661490343702e-03,5.286895588487587443e-03
-4.791487410427476279e-01,-2.135446707849432801e+00,1.265977487874988316e+00,-1.780981813276644437e-03,2.147155420879223037e-02,2.507878954728564452e-02,5.193499769339211813e-02
-3.094976233744666794e-01,-2.262106736668422435e+00,1.252034585472658224e+00,-1.585977978284650470e-03,-2.547504766773209077e-03,1.872656113311158520e-03,1.633804338378038248e-03
-3.189171102014207726e-01,-2.295739022392210948e+00,1.298651877597030158e+00,-4.271633987634955963e-03,-1.004344235272915456e-02,3.524587583853787398e-04,-7.525556122215471336e-03
-3.180363192941486616e-01,-2.297868994334669512e+00,1.273296174504025213e+00,-9.760697773650956269e-03,-1.481033646148212368e-02,-1.753256896844641866e-03,-1.272241342147155743e-02
-1.903170217024038879e-01,-2.156490571205191831e+00,1.151550469267002441e+00,-1.006793073827468715e-02,-3.280145932504709150e-02,-1.885589796577813448e-02,-5.471728861723954007e-02
-1.633758348531666738e-01,-2.225244948116343657e+00,1.211474227866994324e+00,-2.618973178253878372e-03,9.542146188502912546e-03,-3.201132186028809307e-04,1.102606397553243869e-02
-3.977679403931030921e-01,-1.892542898592698641e+00,1.029262596844489952e+00,-6.498999826004039915e-02,-4.751386062813166278e-02,-1.845878934612704692e-02,-7.141871142155123420e-02
-2.282201511261192639e-01,-2.228977281251428355e+00,1.217945866282396761e+00,-3.456507566912910435e-03,-7.293215431230412084e-03,3.922375615024870088e-03,-1.676256441062604075e-03
-1.700007307291725167e-01,-2.123396872181425366e+00,1.124079636036186658e+00,-5.882900850846371592e-03,-1.308437482076069136e-02,-2.964640453903516493e-03,-1.672837908517799815e-02
-1.984338388487247862e-01,-2.048859228560884649e+00,1.039776924437187500e+00,-1.544354508190113467e-02,-4.538266635983048691e-02,-2.212895993143641077e-02,-7.236008702748718269e-02
-1.483333656541606649e-01,-2.136389628694503440e+00,1.105393994198939023e+00,-3.405257569717657674e-03,-3.316560079579448581e-03,-5.418827185481492337e-03,-9.921112902801688602e-03
-4.656226612627789585e-01,-2.327875535182291067e+00,1.348194638091571473e+00,-7.030971212227815625e-04,8.405992161490143458e-03,7.063138770282067352e-03,1.645060346426284112e-02
-2.039037664936345917e-01,-2.356579044301784887e+00,1.353564553671494641e+00,-2.595513027709339844e-04,2.028134482438205717e-03,1.046529257441063945e-03,3.356457140729669428e-03
-2.990923374398863355e-01,-1.938557983160227760e+00,1.114664372281370497e+00,-2.672915376071684918e-02,-4.870192461293337480e-03,-2.894606895776065392e-03,-1.264473615971124093e-02
-3.093025625614564955e-01,-2.057919876724846553e+00,1.210597546184726925e+00,-1.094577171336462082e-02,-9.714951183505727422e-03,4.888767753189015089e-03,-4.141672191582065204e-03
-3.953885316633432012e-01,-2.229104795825398444e+00,1.259428282293043821e+00,-1.530883918622718881e-04,6.471229310367770764e-03,5.374855717474102262e-03,1.216757767861279503e-02
-7.269129006809620097e-02,-2.029674698310480085e+00,1.137926865516946329e+00,-7.754971372149439346e-04,-2.316418776698908957e-03,-2.984362775702430193e-03,-5.340560767185382335e-03
-1.695122264432627757e-01,-2.340961021182663693e+00,1.440672614290362752e+00,-2.469699104019551440e-04,2.667573645800818544e-03,-4.852355531632327607e-04,2.883866360641647308e-03
-4.578539100750346758e-01,-2.310102751496344808e+00,1.245656390279951120e+00,-2.223326117711312293e-04,5.890031726041109611e-03,3.477692821743558725e-03,1.086280075503535600e-02
