name,C1,C2,C3,C4,C5,C6,C7
5HT1a,-0.24775071203229115,0.03785279831289091,-0.12088248331075381,0.40762621813824723,0.09094068703532852,-0.11452901418392243,0.06830562937179632
5HT1b,-0.21790951839123684,0.35303222665874845,-0.4041285452168605,-0.1276180031159636,0.1506611199109645,-0.34305167956574545,0.16275453427651196
5HT2a,-0.04639772973769624,0.5729086349513962,-0.2690550967802356,0.15968261278870788,0.18258231912778855,-0.09983618510539781,0.009949649473806109
5HT4,-0.006454658285901946,0.4103233225673847,-0.047113780382916436,0.24408310338418257,-0.028220934028814072,0.10199694577153208,0.18081821216282762
5HT6,-0.013295912489333008,-0.018905939325089775,-0.35616449165445024,0.34675617026096145,0.3345368873362939,-0.033498424926517334,0.3506351952163211
5HTT,0.14117029823587907,-0.28472753491447655,-0.1238940229985832,0.24533811659162902,0.256434217157085,-0.029218736287940517,0.2502053875918516
A4B2,-0.5767529414225506,-0.08871875991067504,-0.16342520800967875,0.407189477190596,0.06144617568646522,0.11599739225303518,0.17513872373229525
CB1,-0.5663809223827829,0.3370231571152104,-0.2400013825821976,0.14094633467508033,0.035224862468507805,0.12080665166866662,0.28412999718130705
D1,0.16396831875239054,-0.13359874866138519,-0.391092252782976,0.5133418060271713,0.0971764485920243,-0.295346978034913,0.0952343861052503
D2,-0.11663728684078366,0.12074149891752596,-0.013095722381341266,0.2653471289269347,0.23203172660928037,-0.01799290813757673,0.22550346235185426
DAT,0.17304112896346321,-0.24436936495988762,-0.13382628803131316,0.34875118617214684,0.40851216951488145,-0.17492630005437906,0.2538957268208943
GABAa,0.43234494652194094,0.0979555989570188,-0.20359276865656803,0.24662452385020334,0.23557667275844685,-0.3619842942791419,0.247339674830741
H3,-0.5158232919707814,-0.10791509553560619,-0.2257103433902321,0.2535955587619928,0.1702424833660031,-0.2192384294288538,0.1791877567510776
M1,0.06458677654164756,0.4062957017308374,-0.4543382801058196,-0.05945825405665433,0.04786660006162878,-0.009580504130499498,-0.0022751813725701165
mGluR5,-0.061926189927489536,0.11234011675429498,-0.23290100979052142,0.38936748572635305,0.08588844166862905,-0.04987853487094506,0.34171249200493137
MOR,-0.6977172342841285,0.04839139552402702,-0.12365492511865753,0.2960957253462388,-0.02715429885705483,-0.0706672634829276,0.07762889268896564
NET,-0.0735343486008584,-0.07277307375125044,0.22774020834496367,0.2814952670218931,0.09333090448070251,0.25710736255778793,0.2720270211708309
NMDA,0.364686271584514,-0.4691676392106369,-0.20465842922754024,0.45049393636372737,0.32090091992812714,-0.2739480705207254,0.2738661253912982
VAChT,-0.21243778190983925,-0.2543799652121624,0.16553505141717104,0.4646279474644249,0.10347309273851801,0.019627907444163373,0.3383869881035865
