component,canonical_correlation,shared_variance_r2
C1,0.9663646239267799,0.9338605863771468
C2,0.8541455107693791,0.7295645535674834
C3,0.7786600982364797,0.6063115485856443
C4,0.7462570199609133,0.556899539840943
C5,0.6614322162941499,0.43749257675179115
C6,0.5254337350841112,0.27608060996443995
C7,0.3676570306041028,0.1351716921526262
