Alpha_estimate_Exponent,Alpha_estimate_PAF,Alpha_estimate_Power,Alpha_estimate_Width,Xi_estimate_Exponent,Xi_estimate_Power,Xi_estimate_Width
3.240150573302288617e+00,9.702695522178597543e+00,4.192359264794305942e-03,3.200451669238862706e+00,3.882840429033552088e+00,1.856187517678707221e-03,1.404604730151948422e+00
3.234193789958953680e+00,9.870422585805256332e+00,7.878140854882077077e-03,3.179131613175074200e+00,3.640565200646718402e+00,3.071925072193456164e-03,1.509134561816851239e+00
3.417126083025967098e+00,9.823052691717217400e+00,3.944684774274971779e-03,2.981900866014243867e+00,3.776540603080805081e+00,1.596732190419260450e-03,1.465225200583464948e+00
3.005113146663491275e+00,9.918726590723773384e+00,4.289635668472185914e-02,3.363201434316198668e+00,3.479396827859816188e+00,2.096737122157089558e-02,1.685231845363292846e+00
2.984302015738053537e+00,9.914583717692982745e+00,1.192971128250726320e-02,3.352121814814480683e+00,3.457138085365295321e+00,5.987725000489841840e-03,1.633009545369581650e+00
3.487768907866409585e+00,9.854729013579884622e+00,6.101007660200293177e-03,2.879805528376091051e+00,3.468426785400609447e+00,2.343178908596857922e-03,1.628665863612051679e+00
3.106191617069822275e+00,9.936986612551139686e+00,2.689237154625130286e-02,3.450953458294724108e+00,4.005142508131084966e+00,1.483652921689843605e-02,1.353845427433649773e+00
3.142784974425311351e+00,9.955753653521698610e+00,2.153611826543934751e-02,3.315646663380130033e+00,3.628432991424044740e+00,9.879627876919537185e-03,1.589148570374014247e+00
3.333855818575761631e+00,9.942038528562530786e+00,1.069091242100075542e-02,3.019193238160741810e+00,3.307831897510318253e+00,4.084854106250123892e-03,1.686313029349319592e+00
3.236877857040171502e+00,9.903168714822937702e+00,7.076980580907614622e-03,3.628932151757894520e+00,4.381717913908977025e+00,2.044475949913534402e-02,1.143648216779204585e+00
3.434581243580785426e+00,9.878441462023504371e+00,2.645450734115880210e-03,3.474861934267241548e+00,4.147251471157731295e+00,3.074264616287987820e-03,1.196573625761887083e+00
3.280593286861072766e+00,9.890557159077037142e+00,5.512393289010482193e-03,3.776729888386196610e+00,4.343883210962468766e+00,1.690820485560430575e-02,1.080223920971456142e+00
3.293882361123728231e+00,9.999603825946186575e+00,4.180239843269593566e-03,3.760599586575530395e+00,4.274332699664803670e+00,1.108883375865082378e-02,1.139794293392536240e+00
3.467916806300956889e+00,1.012451449696889227e+01,6.272604159207758288e-03,3.479039587660464061e+00,3.975165866806121606e+00,1.343727529761353477e-02,1.262127845230216705e+00
3.679157583026198441e+00,1.007623708570325682e+01,6.342162706271476345e-03,3.152232121239911145e+00,3.785373654988434922e+00,6.163143845844535305e-03,1.352360635324641347e+00
3.143470998809271499e+00,9.885650220124617249e+00,1.381069338436904763e-02,3.455674572895638175e+00,4.099352457777785119e+00,8.684836845226556745e-03,1.333951404443371347e+00
