region,intercept,beta_age,t_age,p_age,q_age,r2,adj_r2
1,0.030638605649879264,-0.00010186802841441436,-0.9174783496170252,0.35900473995735277,0.47237465783862204,0.0004286325590819873,-8.057343553891094e-05
2,0.05074473793361367,-8.668527188375019e-05,-0.4861906783202019,0.626886249328158,0.7017212151773522,0.00012040392992329618,-0.00038895908386682443
3,0.02631337948429153,-5.5596762844201206e-05,-0.5054067083021845,0.6133299487245351,0.7017212151773522,0.00013010835784299513,-0.0003792497122752092
4,0.19882693375304167,-0.0008016897730968052,-1.906622003342258,0.05671542793382306,0.16204407981092303,0.001848440142753871,0.0013399574326889985
5,0.07472921843204605,-0.00012948250886390253,-0.5669501378013188,0.5708128796707755,0.6652792368097251,0.0001637187133187723,-0.0003456222348658944
6,0.028955787819498365,-4.430890980641762e-05,-0.36456814889336847,0.7154730625462888,0.7376010954085451,6.770297340297216e-05,-0.0004416868875376512
7,0.19083095671280803,-0.0006284879340106448,-1.3872384381360308,0.16552654372811687,0.30249266991763724,0.0009793916012167392,0.0004704661766631313
8,0.1260792410025465,-0.0004339651624800944,-1.3821256405613302,0.16709037161836535,0.30249266991763724,0.0009721926309880224,0.00046326353910364215
9,0.04827611873199793,-7.725998720299666e-05,-0.4697773111379185,0.6385663058113905,0.7017212151773522,0.00011241258973193613,-0.0003969544950415127
10,0.13117594821349501,-0.0006162493844528597,-2.228362414697152,0.025969230561190916,0.08377171148771263,0.0025232143557942788,0.0020150753921446274
11,0.041465989869568044,-0.00020836947562555378,-1.7824246559425303,0.07483452215089488,0.19693295302867075,0.0016158451620931213,0.0011072439624812969
12,0.14647987285324307,-0.0007470185988932363,-2.4607360980581103,0.01395076759982154,0.04877180212685353,0.0030751916331185347,0.002567333860134857
13,0.11166005784767435,-0.0005011808264237781,-1.9939255405772351,0.046298328426849666,0.14029796492984747,0.0020212445849804306,0.001512849905706326
14,0.10895791117291355,-0.0004574932534139272,-1.8462302686227514,0.06500923688760629,0.18058121357668414,0.0017333967433621478,0.0012248554273882606
15,0.05921954234651341,-0.00021123605284294807,-1.28153503545345,0.2001571551068161,0.34509854328761397,0.00083594454843261,0.00032694604845728836
16,0.11240183040077309,-0.0003411267302074516,-1.1702563892921447,0.24203986080372097,0.36958318833568,0.0006971702710041328,0.00018810107603262072
17,0.10876851420039355,-0.00046646833337537884,-1.764298560820085,0.0778372325481726,0.19958264755941693,0.0015831998508952783,0.0010745820209669965
18,0.07970651413929708,-0.00030279369023931637,-1.1847205866144626,0.23627135422556794,0.36958318833568,0.0007144982298333824,0.00020543786214610726
19,0.04825937902111668,-0.00018781915425458484,-1.244697355331257,0.21339159847003517,0.35149215778502274,0.000788614227618889,0.0002795916164256562
20,0.03774764397642542,-6.477170525016993e-05,-0.44394629263754926,0.6571303455627485,0.7142721147421179,0.00010039150522334062,-0.0004089817033832155
