region,intercept,beta_age,t_age,p_age,q_age,r2,adj_r2
1,0.0003305285520627055,2.401086372550595e-05,3.946814900510264,8.198674698457928e-05,0.0001999676755721446,0.00787300424506887,0.007367590594658857
2,0.018091125407905664,-3.639259116819845e-05,-1.547887428062051,0.12181059576716945,0.1660259775330954,0.001219070123381294,0.000710266796903114
3,0.0016752057792189263,1.8613602201104683e-05,3.1722673085029154,0.0015359206148868733,0.0031345318671160676,0.005100333060390372,0.004593506943762926
4,0.22200131228466896,-0.0013359102106389983,-6.861737727198351,9.088132622267034e-12,4.1309693737577424e-11,0.02342362689592914,0.022926135111362655
5,0.05932901169211646,-0.00044756265478308266,-8.368715553896877,1.0911003543954618e-16,7.793573959967585e-16,0.03444868693446024,0.033956811583942925
6,0.0066434499101992025,3.097469815442284e-05,2.1510536425737934,0.031593680147755765,0.049999768697486714,0.002351579693972594,0.0018433532954468257
7,0.1289068512286377,-0.00045993181478961556,-3.7061667736181425,0.00021624853114562655,0.0005029035608037826,0.006948664076519506,0.006442779544719501
8,0.10642251886556116,-0.0004968643927940257,-5.606817378418345,2.352486030618613e-08,7.351518845683166e-08,0.015762047412171576,0.015260652632452909
9,0.03324885708034501,-8.793483578064336e-05,-2.2282666005769327,0.025975626544120365,0.04189617184535543,0.0025229979238358125,0.0020148588499304676
10,0.006765136174115945,0.0001188213282505621,6.089088812425752,1.3624336501587225e-09,5.046050556143416e-09,0.018537787554202545,0.01803780680410283
11,0.0003703041184024222,7.297039557956127e-06,2.1459425014071236,0.0319998519663915,0.049999768697486714,0.002340443868226294,0.0018322117968397889
12,0.0023397962857802383,0.00013857545225597043,9.377064023388925,1.80383901579318e-20,2.254798769741475e-19,0.042872920302744144,0.04238533646183873
13,0.006756918132133094,1.5051425493268394e-06,0.07553366631836249,0.9397978088846342,0.949290716045085,2.9064280010482335e-06,-0.0005065164418776025
14,0.0252152875557567,-0.00010417274083329215,-2.3038019121674105,0.02133777603905904,0.0355629600650984,0.0026964807286160575,0.0021884300310758276
15,0.012513661815741976,3.4772268751390817e-05,1.2429953606005473,0.2140179873899882,0.2609975455975466,0.0007864607005735325,0.00027743699232118946
16,0.04810823418979749,-9.121131987117851e-05,-1.5564081670707306,0.1197722622968226,0.1660259775330954,0.001232511837993444,0.000723715359052024
17,0.018058016066166478,-6.306887411985354e-05,-1.6642826914407227,0.09621554873417817,0.14149345402085026,0.001409034173313728,0.0009003276191482668
18,0.02917056520655344,-2.2845301983716193e-05,-0.5059263037554632,0.6129651937920214,0.6735881250461774,0.00013037598248011317,-0.0003789819513035919
19,0.006342332201715527,2.0456162446915876e-05,1.0347708926539083,0.300903376681834,0.3582183055736119,0.0005451691594343666,3.602253139534106e-05
20,0.005348478554366449,4.373385878549798e-05,2.5865323645368266,0.00976607747130374,0.01808532865056248,0.0033965492866516733,0.002888855221081954
21,0.015707524152311757,5.216981352217519e-05,1.4179339189169928,0.15636877607335914,0.20307633256280408,0.001023168355064552,0.0005142652314552576
22,0.0010486887999907857,0.00010412757689979507,8.603393113786561,1.5570795828081592e-17,1.4155268934619628e-16,0.0363366251619931,0.03584571157318106
23,0.0030946384927435363,3.1602503834867574e-06,0.2692556218360626,0.7877612776469101,0.8205846642155313,3.693118310321708e-05,-0.0004724743537367626
24,0.015662683884615794,8.809862993782357e-05,2.6266996243729914,0.008688801443643973,0.016393964988007496,0.003502488699726247,0.002994848602273281
25,-0.00023951915944261286,4.007214876988175e-05,8.818487078793643,2.5050399695925135e-18,2.5050399695925134e-17,0.038106145066868935,0.0376161329145851
26,0.00014864251439000028,6.907059793396336e-05,11.158603316392535,4.458061671176444e-28,8.916123342352888e-27,0.05964721790858951,0.059168179303346835
27,0.01059588541564528,0.0001611463300506716,4.433821952170508,9.769272292470227e-06,2.570861129597428e-05,0.0099153607925756,0.009410987568323259
28,0.0003926115103971653,1.0218433463160411e-06,0.30598552950678093,0.7596481101021466,0.799629589581207,4.7693672361459605e-05,-0.0004617063818044276
29,0.002835224249811525,7.694445263782508e-06,0.7633625151259666,0.44533895923168954,0.51188386118585,0.00029676484869844977,-0.0002125083225452684
30,0.007774614799690261,3.560492339058109e-05,1.5904499726857348,0.11189443561832065,0.15759779664552204,0.0012869463803887315,0.0007781776317287159
