region,intercept,beta_age,t_age,p_age,q_age,r2,adj_r2
1,1.211962585602519,-0.00496583077545975,-4.909732332438086,9.87383959807061e-07,1.4960363027379712e-06,0.012130947209896825,0.011627702659316008
2,1.1353265359193085,-0.003645729248932651,-3.712503550662916,0.00021094087586919706,0.0002704370203451244,0.006972280127151342,0.006466407625942527
3,1.0939139620575358,-0.0030048192187792466,-3.0423440877033863,0.0023785373118055575,0.0027657410602390203,0.0046930308319586,0.004185997225658045
4,1.1375277758877298,-0.003456219501015799,-3.36517587294737,0.0007796789889772446,0.0009508280353381031,0.005735839868168613,0.005229337494183972
5,1.103008836403083,-0.002852756701733489,-2.833339120921104,0.0046535142822645825,0.005113751958532508,0.004072905786044467,0.0035655562729451917
6,1.1020688401715677,-0.002599521197041923,-2.6014700122644974,0.009352272240488638,0.00994922578775387,0.00343575864781942,0.0029280845564531033
7,1.1964694445471364,-0.00570802294001365,-5.770889189534707,9.143097536989938e-09,1.576396127067231e-08,0.016682417115390313,0.016181491194409814
8,1.1584062707895944,-0.003963379127795928,-4.021874736879452,5.992257645527492e-05,7.884549533588805e-05,0.008172835906686715,0.00766757499782611
9,1.1053833146253544,-0.002662068569509882,-2.6767352092294243,0.007496205009436828,0.0081480489233009,0.003636706419316238,0.003129134695637803
10,1.3337641883540707,-0.008958144834392492,-9.945737202102203,9.007660376069498e-23,2.814893867521718e-22,0.04797363592411974,0.04748865051195683
11,1.2920239947785659,-0.007392525312405448,-7.7005460447313405,2.132872610266288e-14,4.1821031573848784e-14,0.029322284541083654,0.028827797676356792
12,1.4049445395141689,-0.010183102577830831,-11.18297917265869,3.4441377756425766e-28,1.8127040924434612e-27,0.05989247515900753,0.0594135614937803
13,1.4122605501650487,-0.009651138048676733,-10.190218394878837,8.477968525511708e-24,2.825989508503902e-23,0.050241200700429256,0.04975737044097961
14,1.3055605911431176,-0.0067692491066702306,-6.806521695688894,1.3238527540146803e-11,2.407005007299419e-11,0.023056823269925086,0.022559144626659644
15,1.207788691855222,-0.004805223649811924,-4.79835891185588,1.72038566449344e-06,2.529978918372706e-06,0.011593135515495345,0.011089616990541451
16,1.2107297471515397,-0.0057297943541585045,-5.909805925932347,4.02844341350704e-09,7.067444585100071e-09,0.01748103256680633,0.016980513479983528
17,1.3555604382071358,-0.008735843615896279,-8.963347524370716,7.153005079905548e-19,1.6256829727058065e-18,0.03931873108644657,0.038829336655008206
18,1.2079455502847056,-0.004715251356830829,-4.709588732702983,2.6560629247364274e-06,3.794375606766325e-06,0.011172902963851317,0.010669170362202718
19,1.2584172751134908,-0.00576930069775953,-5.739200556146563,1.099528744716745e-08,1.8636080418927882e-08,0.016502725055903444,0.016001707595412307
20,1.1477264632232143,-0.003540091212223651,-3.5520007658160706,0.00039133142700755743,0.000495356236718427,0.006386213165777255,0.005880042107787364
21,1.205567623501049,-0.00474272155272619,-4.7617664785399825,2.0594934885179907e-06,2.984773171765204e-06,0.011419001910792259,0.010915394677939894
22,1.4948259294266848,-0.010876911248818616,-11.638690654501646,2.53072648759402e-30,1.8076617768528714e-29,0.06455170789384956,0.06407516775523203
23,1.3658002958637931,-0.0075879069474908915,-7.608743003601964,4.267758987400302e-14,8.052375447925099e-14,0.0286472222683537,0.028152391510467
24,1.3157540080811552,-0.008041471171199644,-8.559021575240726,2.2584045080897988e-17,4.9095750175865187e-17,0.03597623272021311,0.03548513553871546
25,1.4106882728398558,-0.009774295647903941,-10.311274361221937,2.5821280960302125e-24,8.903889986311077e-24,0.051380287592607266,0.0508970376117579
26,1.506054269178666,-0.010435112568961069,-10.951020996982491,3.934536600613028e-27,1.6393902502554285e-26,0.05757522180895891,0.05709512767844893
27,1.5390974515392206,-0.010389973072727142,-10.655272856304387,8.234107135169472e-26,3.293642854067789e-25,0.05467514316391375,0.05419357166272365
28,1.4741216542215478,-0.009114652228692465,-9.224347463944241,7.139937142670447e-20,1.8789308270185386e-19,0.04154536415640275,0.04105710402606977
29,1.085174068275398,-0.0029576655604993704,-2.946208092561519,0.003254851685630439,0.0036986950973073173,0.0044024088589347254,0.003895227202724283
30,1.3735982268865286,-0.007979382195156101,-8.075820998859617,1.1573275783429234e-15,2.4110991215477568e-15,0.03215574280182931,0.031662699369736536
31,1.5495532152416476,-0.010553823660370889,-11.058057905389214,1.2857453927521907e-27,6.428726963760954e-27,0.05863989816110027,0.05816034640264944
32,1.4317409173785831,-0.008640081141398304,-8.964256943158096,7.09653172084047e-19,1.6256829727058065e-18,0.03932639624363021,0.03883700571700954
33,1.323408101709838,-0.00844137907676357,-9.098772837099881,2.1798114763430075e-19,5.316613356934165e-19,0.04046738010540296,0.03997857082374501
34,1.199158207131232,-0.00465149861411921,-4.681267974293499,3.046088481245821e-06,4.290265466543409e-06,0.011040411256065585,0.010536611159914777
35,1.5526733699195423,-0.010968432518819977,-11.379611548647254,4.2205059531322327e-29,2.344725529517907e-28,0.06188570314582076,0.061407804879466066
36,1.0951973558899735,-0.0023517812746730576,-2.309398187788716,0.021024843764450313,0.022131414488895065,0.0027095614018208813,0.0022015173678940902
37,1.0897928951960771,-0.0031309838280175104,-3.0531573099302336,0.0022948700560892123,0.0026998471248108383,0.004726292485867756,0.004219275823863611
