Alpha_estimate_Exponent,Alpha_estimate_PAF,Alpha_estimate_Power,Alpha_estimate_Width,Xi_estimate_Exponent,Xi_estimate_Power,Xi_estimate_Width
3.617307126093253888e+00,1.013383657469166188e+01,1.129663090000478515e-01,3.481909076086908694e+00,1.565928928286051569e+00,2.802976081750804815e-01,4.212968460947490001e+00
3.179984528191235782e+00,1.013830935225194807e+01,1.498047029156060472e-01,3.116828814655745017e+00,1.621583714371635843e+00,5.582178213766643138e-01,4.333909450745095704e+00
3.925632438739808716e+00,1.007986689816002013e+01,6.105016150018748033e-02,2.870473094347144372e+00,1.466097264730629846e+00,8.451140033347266656e-02,4.369648773129246599e+00
3.540033829312364766e+00,1.013603845163553707e+01,5.942107746455849854e-02,2.758660080052223407e+00,1.524263501167297363e+00,7.352508882358044229e-02,4.270262315493671856e+00
4.014576038777433631e+00,1.006575543359415370e+01,8.238072093847571831e-02,2.712663937878135201e+00,1.413381397329418920e+00,2.094180775892655610e-01,4.344763537905863338e+00
3.696520831849840150e+00,9.802435821957057982e+00,4.278474992536233923e-02,3.801760973352374506e+00,1.580777775759648840e+00,4.339921224598932703e-01,4.342923383520107095e+00
4.700484888604346878e+00,9.901556209807699460e+00,3.719311727091986763e-02,2.700793321081932596e+00,1.380205207682670521e+00,1.354413178372890492e-01,4.482155350421336948e+00
3.374685067756503454e+00,1.010459486643473248e+01,1.216653953580295322e-01,3.545236966189216243e+00,1.698056359696232365e+00,2.207535790656906249e-01,4.099552193498300134e+00
3.272818464499253288e+00,9.951556483467856040e+00,2.820441020898275392e-02,3.967111307186084623e+00,1.778416229473365640e+00,2.581724687428264553e-01,4.199238589831760571e+00
3.714796586912505472e+00,9.674037753319254307e+00,2.213848404329726155e-02,3.849656928558738755e+00,1.555957362968094504e+00,3.976824469484236957e-01,4.476301122684867906e+00
4.030828621850084836e+00,9.466561459783298105e+00,5.925691058275414647e-02,3.568014899296547249e+00,1.544993790227975339e+00,1.024207492928896457e+00,4.632642717503789420e+00
4.897134321516957378e+00,9.334320376659261953e+00,7.947571004604407630e-03,2.558319913929906431e+00,1.436909345717265696e+00,1.025753472128818761e-01,4.562675704216134775e+00
4.409561154089476354e+00,9.999896984351309470e+00,4.079008410611238700e-02,2.316722207947781165e+00,1.328408754969897965e+00,3.822490556998864308e-02,4.039765623055006749e+00
4.945851254463195623e+00,9.785002953665596692e+00,3.234676133641706947e-02,2.563726007938385010e+00,1.387959476879664811e+00,1.584050132227795560e-01,4.424571568625314200e+00
3.551603026688098907e+00,9.663976572453975677e+00,1.613264627667376772e-02,3.849434253759682178e+00,1.593924378044903278e+00,3.496821072112652473e-01,4.615831097587943077e+00
3.410461715455940457e+00,9.842475676769542048e+00,2.269122380830031899e-02,3.705725780915748224e+00,1.542977627403184782e+00,1.830776435086436948e-01,4.549733490431347782e+00
